Planet Name,Host Name,Planet Letter,Number of Stars,Number of Planets,Number of Moons,Discovery Method,Discovery Year,Discovery Publication Date,Discovery Locale,Discovery Facility,Discovery Telescope,Discovery Instrument
Kepler-286 c,Kepler-286,c,1,4,0,Transit,2014,2014-03,Space,Kepler,0.95 m Kepler Telescope,Kepler CCD Array
Kepler-286 d,Kepler-286,d,1,4,0,Transit,2014,2014-03,Space,Kepler,0.95 m Kepler Telescope,Kepler CCD Array
Kepler-286 e,Kepler-286,e,1,4,0,Transit,2014,2014-03,Space,Kepler,0.95 m Kepler Telescope,Kepler CCD Array
Kepler-287 b,Kepler-287,b,1,2,0,Transit,2014,2014-03,Space,Kepler,0.95 m Kepler Telescope,Kepler CCD Array
Kepler-287 c,Kepler-287,c,1,2,0,Transit,2014,2014-03,Space,Kepler,0.95 m Kepler Telescope,Kepler CCD Array
Kepler-288 b,Kepler-288,b,1,3,0,Transit,2014,2014-03,Space,Kepler,0.95 m Kepler Telescope,Kepler CCD Array
Kepler-288 c,Kepler-288,c,1,3,0,Transit,2014,2014-03,Space,Kepler,0.95 m Kepler Telescope,Kepler CCD Array
Kepler-288 d,Kepler-288,d,1,3,0,Transit,2014,2014-03,Space,Kepler,0.95 m Kepler Telescope,Kepler CCD Array
Kepler-289 b,Kepler-289,b,1,3,0,Transit,2014,2014-03,Space,Kepler,0.95 m Kepler Telescope,Kepler CCD Array
Kepler-289 c,Kepler-289,c,1,3,0,Transit,2014,2014-03,Space,Kepler,0.95 m Kepler Telescope,Kepler CCD Array
Kepler-289 d,Kepler-289,d,1,3,0,Transit,2014,2014-11,Space,Kepler,0.95 m Kepler Telescope,Kepler CCD Array
Kepler-290 b,Kepler-290,b,1,2,0,Transit,2014,2014-03,Space,Kepler,0.95 m Kepler Telescope,Kepler CCD Array
Kepler-290 c,Kepler-290,c,1,2,0,Transit,2014,2014-03,Space,Kepler,0.95 m Kepler Telescope,Kepler CCD Array
Kepler-291 b,Kepler-291,b,1,2,0,Transit,2014,2014-03,Space,Kepler,0.95 m Kepler Telescope,Kepler CCD Array
Kepler-291 c,Kepler-291,c,1,2,0,Transit,2014,2014-03,Space,Kepler,0.95 m Kepler Telescope,Kepler CCD Array
Kepler-292 b,Kepler-292,b,1,5,0,Transit,2014,2014-03,Space,Kepler,0.95 m Kepler Telescope,Kepler CCD Array
Kepler-292 c,Kepler-292,c,1,5,0,Transit,2014,2014-03,Space,Kepler,0.95 m Kepler Telescope,Kepler CCD Array
Kepler-292 d,Kepler-292,d,1,5,0,Transit,2014,2014-03,Space,Kepler,0.95 m Kepler Telescope,Kepler CCD Array
Kepler-292 e,Kepler-292,e,1,5,0,Transit,2014,2014-03,Space,Kepler,0.95 m Kepler Telescope,Kepler CCD Array
Kepler-292 f,Kepler-292,f,1,5,0,Transit,2014,2014-03,Space,Kepler,0.95 m Kepler Telescope,Kepler CCD Array
Kepler-293 b,Kepler-293,b,1,2,0,Transit,2014,2014-03,Space,Kepler,0.95 m Kepler Telescope,Kepler CCD Array
Kepler-293 c,Kepler-293,c,1,2,0,Transit,2014,2014-03,Space,Kepler,0.95 m Kepler Telescope,Kepler CCD Array
Kepler-294 b,Kepler-294,b,1,2,0,Transit,2014,2014-03,Space,Kepler,0.95 m Kepler Telescope,Kepler CCD Array
Kepler-294 c,Kepler-294,c,1,2,0,Transit,2014,2014-03,Space,Kepler,0.95 m Kepler Telescope,Kepler CCD Array
Kepler-295 b,Kepler-295,b,1,3,0,Transit,2014,2014-03,Space,Kepler,0.95 m Kepler Telescope,Kepler CCD Array
Kepler-295 c,Kepler-295,c,1,3,0,Transit,2014,2014-03,Space,Kepler,0.95 m Kepler Telescope,Kepler CCD Array
Kepler-295 d,Kepler-295,d,1,3,0,Transit,2014,2014-03,Space,Kepler,0.95 m Kepler Telescope,Kepler CCD Array
Kepler-296 b,Kepler-296,b,2,5,0,Transit,2014,2014-03,Space,Kepler,0.95 m Kepler Telescope,Kepler CCD Array
Kepler-296 c,Kepler-296,c,2,5,0,Transit,2014,2014-03,Space,Kepler,0.95 m Kepler Telescope,Kepler CCD Array
Kepler-296 d,Kepler-296,d,2,5,0,Transit,2014,2014-03,Space,Kepler,0.95 m Kepler Telescope,Kepler CCD Array
Kepler-296 e,Kepler-296,e,2,5,0,Transit,2014,2014-03,Space,Kepler,0.95 m Kepler Telescope,Kepler CCD Array
Kepler-296 f,Kepler-296,f,2,5,0,Transit,2014,2014-03,Space,Kepler,0.95 m Kepler Telescope,Kepler CCD Array
Kepler-297 b,Kepler-297,b,1,2,0,Transit,2014,2014-03,Space,Kepler,0.95 m Kepler Telescope,Kepler CCD Array
Kepler-297 c,Kepler-297,c,1,2,0,Transit,2014,2014-03,Space,Kepler,0.95 m Kepler Telescope,Kepler CCD Array
Kepler-298 b,Kepler-298,b,1,3,0,Transit,2014,2014-03,Space,Kepler,0.95 m Kepler Telescope,Kepler CCD Array
Kepler-298 c,Kepler-298,c,1,3,0,Transit,2014,2014-03,Space,Kepler,0.95 m Kepler Telescope,Kepler CCD Array
Kepler-298 d,Kepler-298,d,1,3,0,Transit,2014,2014-03,Space,Kepler,0.95 m Kepler Telescope,Kepler CCD Array
Kepler-299 b,Kepler-299,b,1,4,0,Transit,2014,2014-03,Space,Kepler,0.95 m Kepler Telescope,Kepler CCD Array
Kepler-299 c,Kepler-299,c,1,4,0,Transit,2014,2014-03,Space,Kepler,0.95 m Kepler Telescope,Kepler CCD Array
Kepler-299 d,Kepler-299,d,1,4,0,Transit,2014,2014-03,Space,Kepler,0.95 m Kepler Telescope,Kepler CCD Array
Kepler-299 e,Kepler-299,e,1,4,0,Transit,2014,2014-03,Space,Kepler,0.95 m Kepler Telescope,Kepler CCD Array
Kepler-300 b,Kepler-300,b,1,2,0,Transit,2014,2014-03,Space,Kepler,0.95 m Kepler Telescope,Kepler CCD Array
Kepler-300 c,Kepler-300,c,1,2,0,Transit,2014,2014-03,Space,Kepler,0.95 m Kepler Telescope,Kepler CCD Array
Kepler-301 b,Kepler-301,b,1,3,0,Transit,2014,2014-03,Space,Kepler,0.95 m Kepler Telescope,Kepler CCD Array
Kepler-301 c,Kepler-301,c,1,3,0,Transit,2014,2014-03,Space,Kepler,0.95 m Kepler Telescope,Kepler CCD Array
Kepler-301 d,Kepler-301,d,1,3,0,Transit,2014,2014-03,Space,Kepler,0.95 m Kepler Telescope,Kepler CCD Array
Kepler-302 b,Kepler-302,b,1,2,0,Transit,2014,2014-03,Space,Kepler,0.95 m Kepler Telescope,Kepler CCD Array
Kepler-302 c,Kepler-302,c,1,2,0,Transit,2014,2014-03,Space,Kepler,0.95 m Kepler Telescope,Kepler CCD Array
Kepler-303 b,Kepler-303,b,1,2,0,Transit,2014,2014-03,Space,Kepler,0.95 m Kepler Telescope,Kepler CCD Array
Kepler-303 c,Kepler-303,c,1,2,0,Transit,2014,2014-03,Space,Kepler,0.95 m Kepler Telescope,Kepler CCD Array
Kepler-304 b,Kepler-304,b,1,4,0,Transit,2014,2014-03,Space,Kepler,0.95 m Kepler Telescope,Kepler CCD Array
Kepler-304 c,Kepler-304,c,1,4,0,Transit,2014,2014-03,Space,Kepler,0.95 m Kepler Telescope,Kepler CCD Array
Kepler-304 d,Kepler-304,d,1,4,0,Transit,2014,2014-03,Space,Kepler,0.95 m Kepler Telescope,Kepler CCD Array
Kepler-305 d,Kepler-305,d,1,4,0,Transit,2014,2014-03,Space,Kepler,0.95 m Kepler Telescope,Kepler CCD Array
Kepler-306 b,Kepler-306,b,1,4,0,Transit,2014,2014-03,Space,Kepler,0.95 m Kepler Telescope,Kepler CCD Array
Kepler-306 c,Kepler-306,c,1,4,0,Transit,2014,2014-03,Space,Kepler,0.95 m Kepler Telescope,Kepler CCD Array
Kepler-306 d,Kepler-306,d,1,4,0,Transit,2014,2014-03,Space,Kepler,0.95 m Kepler Telescope,Kepler CCD Array
Kepler-306 e,Kepler-306,e,1,4,0,Transit,2014,2014-03,Space,Kepler,0.95 m Kepler Telescope,Kepler CCD Array
Kepler-308 b,Kepler-308,b,1,2,0,Transit,2014,2014-03,Space,Kepler,0.95 m Kepler Telescope,Kepler CCD Array
Kepler-308 c,Kepler-308,c,1,2,0,Transit,2014,2014-03,Space,Kepler,0.95 m Kepler Telescope,Kepler CCD Array
Kepler-309 b,Kepler-309,b,1,2,0,Transit,2014,2014-03,Space,Kepler,0.95 m Kepler Telescope,Kepler CCD Array
Kepler-309 c,Kepler-309,c,1,2,0,Transit,2014,2014-03,Space,Kepler,0.95 m Kepler Telescope,Kepler CCD Array
Kepler-31 d,Kepler-31,d,1,3,0,Transit,2014,2014-03,Space,Kepler,0.95 m Kepler Telescope,Kepler CCD Array
Kepler-310 b,Kepler-310,b,1,3,0,Transit,2014,2014-03,Space,Kepler,0.95 m Kepler Telescope,Kepler CCD Array
Kepler-310 c,Kepler-310,c,1,3,0,Transit,2014,2014-03,Space,Kepler,0.95 m Kepler Telescope,Kepler CCD Array
Kepler-310 d,Kepler-310,d,1,3,0,Transit,2014,2014-03,Space,Kepler,0.95 m Kepler Telescope,Kepler CCD Array
Kepler-311 b,Kepler-311,b,1,2,0,Transit,2014,2014-03,Space,Kepler,0.95 m Kepler Telescope,Kepler CCD Array
Kepler-311 c,Kepler-311,c,1,2,0,Transit,2014,2014-03,Space,Kepler,0.95 m Kepler Telescope,Kepler CCD Array
Kepler-312 b,Kepler-312,b,1,2,0,Transit,2014,2014-03,Space,Kepler,0.95 m Kepler Telescope,Kepler CCD Array
Kepler-312 c,Kepler-312,c,1,2,0,Transit,2014,2014-03,Space,Kepler,0.95 m Kepler Telescope,Kepler CCD Array
Kepler-313 b,Kepler-313,b,1,2,0,Transit,2014,2014-03,Space,Kepler,0.95 m Kepler Telescope,Kepler CCD Array
Kepler-313 c,Kepler-313,c,1,2,0,Transit,2014,2014-03,Space,Kepler,0.95 m Kepler Telescope,Kepler CCD Array
Kepler-314 b,Kepler-314,b,1,2,0,Transit,2014,2014-03,Space,Kepler,0.95 m Kepler Telescope,Kepler CCD Array
Kepler-314 c,Kepler-314,c,1,2,0,Transit,2014,2014-03,Space,Kepler,0.95 m Kepler Telescope,Kepler CCD Array
Kepler-315 b,Kepler-315,b,1,2,0,Transit,2014,2014-03,Space,Kepler,0.95 m Kepler Telescope,Kepler CCD Array
Kepler-315 c,Kepler-315,c,1,2,0,Transit,2014,2014-03,Space,Kepler,0.95 m Kepler Telescope,Kepler CCD Array
Kepler-316 b,Kepler-316,b,1,2,0,Transit,2014,2014-03,Space,Kepler,0.95 m Kepler Telescope,Kepler CCD Array
Kepler-316 c,Kepler-316,c,1,2,0,Transit,2014,2014-03,Space,Kepler,0.95 m Kepler Telescope,Kepler CCD Array
Kepler-317 b,Kepler-317,b,1,2,0,Transit,2014,2014-03,Space,Kepler,0.95 m Kepler Telescope,Kepler CCD Array
Kepler-317 c,Kepler-317,c,1,2,0,Transit,2014,2014-03,Space,Kepler,0.95 m Kepler Telescope,Kepler CCD Array
Kepler-318 b,Kepler-318,b,1,2,0,Transit,2014,2014-03,Space,Kepler,0.95 m Kepler Telescope,Kepler CCD Array
Kepler-318 c,Kepler-318,c,1,2,0,Transit,2014,2014-03,Space,Kepler,0.95 m Kepler Telescope,Kepler CCD Array
Kepler-319 b,Kepler-319,b,1,3,0,Transit,2014,2014-03,Space,Kepler,0.95 m Kepler Telescope,Kepler CCD Array
Kepler-319 c,Kepler-319,c,1,3,0,Transit,2014,2014-03,Space,Kepler,0.95 m Kepler Telescope,Kepler CCD Array
Kepler-319 d,Kepler-319,d,1,3,0,Transit,2014,2014-03,Space,Kepler,0.95 m Kepler Telescope,Kepler CCD Array
Kepler-320 b,Kepler-320,b,1,2,0,Transit,2014,2014-03,Space,Kepler,0.95 m Kepler Telescope,Kepler CCD Array
Kepler-320 c,Kepler-320,c,1,2,0,Transit,2014,2014-03,Space,Kepler,0.95 m Kepler Telescope,Kepler CCD Array
Kepler-321 b,Kepler-321,b,1,2,0,Transit,2014,2014-03,Space,Kepler,0.95 m Kepler Telescope,Kepler CCD Array
Kepler-321 c,Kepler-321,c,1,2,0,Transit,2014,2014-03,Space,Kepler,0.95 m Kepler Telescope,Kepler CCD Array
Kepler-322 b,Kepler-322,b,1,2,0,Transit,2014,2014-03,Space,Kepler,0.95 m Kepler Telescope,Kepler CCD Array
Kepler-322 c,Kepler-322,c,1,2,0,Transit,2014,2014-03,Space,Kepler,0.95 m Kepler Telescope,Kepler CCD Array
Kepler-323 b,Kepler-323,b,1,2,0,Transit,2014,2014-03,Space,Kepler,0.95 m Kepler Telescope,Kepler CCD Array
Kepler-323 c,Kepler-323,c,1,2,0,Transit,2014,2014-03,Space,Kepler,0.95 m Kepler Telescope,Kepler CCD Array
Kepler-324 b,Kepler-324,b,1,2,0,Transit,2014,2014-03,Space,Kepler,0.95 m Kepler Telescope,Kepler CCD Array
Kepler-324 c,Kepler-324,c,1,2,0,Transit,2014,2014-03,Space,Kepler,0.95 m Kepler Telescope,Kepler CCD Array
Kepler-325 b,Kepler-325,b,1,3,0,Transit,2014,2014-03,Space,Kepler,0.95 m Kepler Telescope,Kepler CCD Array
Kepler-325 c,Kepler-325,c,1,3,0,Transit,2014,2014-03,Space,Kepler,0.95 m Kepler Telescope,Kepler CCD Array
Kepler-325 d,Kepler-325,d,1,3,0,Transit,2014,2014-03,Space,Kepler,0.95 m Kepler Telescope,Kepler CCD Array
Kepler-326 b,Kepler-326,b,1,3,0,Transit,2014,2014-03,Space,Kepler,0.95 m Kepler Telescope,Kepler CCD Array
Kepler-326 c,Kepler-326,c,1,3,0,Transit,2014,2014-03,Space,Kepler,0.95 m Kepler Telescope,Kepler CCD Array
Kepler-326 d,Kepler-326,d,1,3,0,Transit,2014,2014-03,Space,Kepler,0.95 m Kepler Telescope,Kepler CCD Array
Kepler-327 b,Kepler-327,b,1,3,0,Transit,2014,2014-03,Space,Kepler,0.95 m Kepler Telescope,Kepler CCD Array
Kepler-327 c,Kepler-327,c,1,3,0,Transit,2014,2014-03,Space,Kepler,0.95 m Kepler Telescope,Kepler CCD Array
Kepler-327 d,Kepler-327,d,1,3,0,Transit,2014,2014-03,Space,Kepler,0.95 m Kepler Telescope,Kepler CCD Array
Kepler-329 b,Kepler-329,b,1,2,0,Transit,2014,2014-03,Space,Kepler,0.95 m Kepler Telescope,Kepler CCD Array
Kepler-329 c,Kepler-329,c,1,2,0,Transit,2014,2014-03,Space,Kepler,0.95 m Kepler Telescope,Kepler CCD Array
Kepler-330 b,Kepler-330,b,1,2,0,Transit,2014,2014-03,Space,Kepler,0.95 m Kepler Telescope,Kepler CCD Array
Kepler-330 c,Kepler-330,c,1,2,0,Transit,2014,2014-03,Space,Kepler,0.95 m Kepler Telescope,Kepler CCD Array
Kepler-331 b,Kepler-331,b,1,3,0,Transit,2014,2014-03,Space,Kepler,0.95 m Kepler Telescope,Kepler CCD Array
Kepler-331 c,Kepler-331,c,1,3,0,Transit,2014,2014-03,Space,Kepler,0.95 m Kepler Telescope,Kepler CCD Array
Kepler-331 d,Kepler-331,d,1,3,0,Transit,2014,2014-03,Space,Kepler,0.95 m Kepler Telescope,Kepler CCD Array
Kepler-332 b,Kepler-332,b,1,3,0,Transit,2014,2014-03,Space,Kepler,0.95 m Kepler Telescope,Kepler CCD Array
Kepler-332 c,Kepler-332,c,1,3,0,Transit,2014,2014-03,Space,Kepler,0.95 m Kepler Telescope,Kepler CCD Array
Kepler-332 d,Kepler-332,d,1,3,0,Transit,2014,2014-03,Space,Kepler,0.95 m Kepler Telescope,Kepler CCD Array
Kepler-333 b,Kepler-333,b,2,2,0,Transit,2014,2014-03,Space,Kepler,0.95 m Kepler Telescope,Kepler CCD Array
Kepler-333 c,Kepler-333,c,2,2,0,Transit,2014,2014-03,Space,Kepler,0.95 m Kepler Telescope,Kepler CCD Array
Kepler-334 b,Kepler-334,b,1,3,0,Transit,2014,2014-03,Space,Kepler,0.95 m Kepler Telescope,Kepler CCD Array
Kepler-334 c,Kepler-334,c,1,3,0,Transit,2014,2014-03,Space,Kepler,0.95 m Kepler Telescope,Kepler CCD Array
Kepler-334 d,Kepler-334,d,1,3,0,Transit,2014,2014-03,Space,Kepler,0.95 m Kepler Telescope,Kepler CCD Array
Kepler-335 b,Kepler-335,b,1,2,0,Transit,2014,2014-03,Space,Kepler,0.95 m Kepler Telescope,Kepler CCD Array
Kepler-335 c,Kepler-335,c,1,2,0,Transit,2014,2014-03,Space,Kepler,0.95 m Kepler Telescope,Kepler CCD Array
Kepler-336 b,Kepler-336,b,1,3,0,Transit,2014,2014-03,Space,Kepler,0.95 m Kepler Telescope,Kepler CCD Array
Kepler-336 c,Kepler-336,c,1,3,0,Transit,2014,2014-03,Space,Kepler,0.95 m Kepler Telescope,Kepler CCD Array
Kepler-336 d,Kepler-336,d,1,3,0,Transit,2014,2014-03,Space,Kepler,0.95 m Kepler Telescope,Kepler CCD Array
Kepler-337 b,Kepler-337,b,1,2,0,Transit,2014,2014-03,Space,Kepler,0.95 m Kepler Telescope,Kepler CCD Array
Kepler-337 c,Kepler-337,c,1,2,0,Transit,2014,2014-03,Space,Kepler,0.95 m Kepler Telescope,Kepler CCD Array
Kepler-338 b,Kepler-338,b,1,4,0,Transit,2014,2014-03,Space,Kepler,0.95 m Kepler Telescope,Kepler CCD Array
Kepler-338 c,Kepler-338,c,1,4,0,Transit,2014,2014-03,Space,Kepler,0.95 m Kepler Telescope,Kepler CCD Array
Kepler-338 d,Kepler-338,d,1,4,0,Transit,2014,2014-03,Space,Kepler,0.95 m Kepler Telescope,Kepler CCD Array
Kepler-338 e,Kepler-338,e,1,4,0,Transit Timing Variations,2014,2014-05,Space,Kepler,0.95 m Kepler Telescope,Kepler CCD Array
Kepler-339 b,Kepler-339,b,1,3,0,Transit,2014,2014-03,Space,Kepler,0.95 m Kepler Telescope,Kepler CCD Array
Kepler-339 c,Kepler-339,c,1,3,0,Transit,2014,2014-03,Space,Kepler,0.95 m Kepler Telescope,Kepler CCD Array
Kepler-339 d,Kepler-339,d,1,3,0,Transit,2014,2014-03,Space,Kepler,0.95 m Kepler Telescope,Kepler CCD Array
Kepler-340 b,Kepler-340,b,1,2,0,Transit,2014,2014-03,Space,Kepler,0.95 m Kepler Telescope,Kepler CCD Array
Kepler-340 c,Kepler-340,c,1,2,0,Transit,2014,2014-03,Space,Kepler,0.95 m Kepler Telescope,Kepler CCD Array
Kepler-341 b,Kepler-341,b,1,4,0,Transit,2014,2014-03,Space,Kepler,0.95 m Kepler Telescope,Kepler CCD Array
Kepler-341 c,Kepler-341,c,1,4,0,Transit,2014,2014-03,Space,Kepler,0.95 m Kepler Telescope,Kepler CCD Array
Kepler-341 d,Kepler-341,d,1,4,0,Transit,2014,2014-03,Space,Kepler,0.95 m Kepler Telescope,Kepler CCD Array
Kepler-341 e,Kepler-341,e,1,4,0,Transit,2014,2014-03,Space,Kepler,0.95 m Kepler Telescope,Kepler CCD Array
Kepler-342 b,Kepler-342,b,1,4,0,Transit,2014,2014-03,Space,Kepler,0.95 m Kepler Telescope,Kepler CCD Array
Kepler-342 c,Kepler-342,c,1,4,0,Transit,2014,2014-03,Space,Kepler,0.95 m Kepler Telescope,Kepler CCD Array
Kepler-342 d,Kepler-342,d,1,4,0,Transit,2014,2014-03,Space,Kepler,0.95 m Kepler Telescope,Kepler CCD Array
Kepler-343 b,Kepler-343,b,1,2,0,Transit,2014,2014-03,Space,Kepler,0.95 m Kepler Telescope,Kepler CCD Array
Kepler-343 c,Kepler-343,c,1,2,0,Transit,2014,2014-03,Space,Kepler,0.95 m Kepler Telescope,Kepler CCD Array
Kepler-344 b,Kepler-344,b,1,2,0,Transit,2014,2014-03,Space,Kepler,0.95 m Kepler Telescope,Kepler CCD Array
Kepler-344 c,Kepler-344,c,1,2,0,Transit,2014,2014-03,Space,Kepler,0.95 m Kepler Telescope,Kepler CCD Array
Kepler-345 b,Kepler-345,b,1,2,0,Transit,2014,2014-03,Space,Kepler,0.95 m Kepler Telescope,Kepler CCD Array
Kepler-345 c,Kepler-345,c,1,2,0,Transit,2014,2014-03,Space,Kepler,0.95 m Kepler Telescope,Kepler CCD Array
Kepler-346 b,Kepler-346,b,1,2,0,Transit,2014,2014-03,Space,Kepler,0.95 m Kepler Telescope,Kepler CCD Array
Kepler-346 c,Kepler-346,c,1,2,0,Transit,2014,2014-03,Space,Kepler,0.95 m Kepler Telescope,Kepler CCD Array
Kepler-347 b,Kepler-347,b,1,2,0,Transit,2014,2014-03,Space,Kepler,0.95 m Kepler Telescope,Kepler CCD Array
Kepler-347 c,Kepler-347,c,1,2,0,Transit,2014,2014-03,Space,Kepler,0.95 m Kepler Telescope,Kepler CCD Array
Kepler-348 b,Kepler-348,b,1,2,0,Transit,2014,2014-03,Space,Kepler,0.95 m Kepler Telescope,Kepler CCD Array
Kepler-348 c,Kepler-348,c,1,2,0,Transit,2014,2014-03,Space,Kepler,0.95 m Kepler Telescope,Kepler CCD Array
Kepler-349 b,Kepler-349,b,1,2,0,Transit,2014,2014-03,Space,Kepler,0.95 m Kepler Telescope,Kepler CCD Array
Kepler-349 c,Kepler-349,c,1,2,0,Transit,2014,2014-03,Space,Kepler,0.95 m Kepler Telescope,Kepler CCD Array
Kepler-350 b,Kepler-350,b,1,3,0,Transit,2014,2014-03,Space,Kepler,0.95 m Kepler Telescope,Kepler CCD Array
Kepler-351 b,Kepler-351,b,1,3,0,Transit,2014,2014-03,Space,Kepler,0.95 m Kepler Telescope,Kepler CCD Array
Kepler-351 c,Kepler-351,c,1,3,0,Transit,2014,2014-03,Space,Kepler,0.95 m Kepler Telescope,Kepler CCD Array
Kepler-352 b,Kepler-352,b,1,2,0,Transit,2014,2014-03,Space,Kepler,0.95 m Kepler Telescope,Kepler CCD Array
Kepler-352 c,Kepler-352,c,1,2,0,Transit,2014,2014-03,Space,Kepler,0.95 m Kepler Telescope,Kepler CCD Array
Kepler-353 b,Kepler-353,b,2,2,0,Transit,2014,2014-03,Space,Kepler,0.95 m Kepler Telescope,Kepler CCD Array
Kepler-353 c,Kepler-353,c,2,2,0,Transit,2014,2014-03,Space,Kepler,0.95 m Kepler Telescope,Kepler CCD Array
Kepler-354 b,Kepler-354,b,1,3,0,Transit,2014,2014-03,Space,Kepler,0.95 m Kepler Telescope,Kepler CCD Array
Kepler-354 c,Kepler-354,c,1,3,0,Transit,2014,2014-03,Space,Kepler,0.95 m Kepler Telescope,Kepler CCD Array
Kepler-354 d,Kepler-354,d,1,3,0,Transit,2014,2014-03,Space,Kepler,0.95 m Kepler Telescope,Kepler CCD Array
Kepler-355 b,Kepler-355,b,1,2,0,Transit,2014,2014-03,Space,Kepler,0.95 m Kepler Telescope,Kepler CCD Array
Kepler-355 c,Kepler-355,c,1,2,0,Transit,2014,2014-03,Space,Kepler,0.95 m Kepler Telescope,Kepler CCD Array
Kepler-356 b,Kepler-356,b,1,2,0,Transit,2014,2014-03,Space,Kepler,0.95 m Kepler Telescope,Kepler CCD Array
Kepler-356 c,Kepler-356,c,1,2,0,Transit,2014,2014-03,Space,Kepler,0.95 m Kepler Telescope,Kepler CCD Array
Kepler-357 b,Kepler-357,b,1,3,0,Transit,2014,2014-03,Space,Kepler,0.95 m Kepler Telescope,Kepler CCD Array
Kepler-357 c,Kepler-357,c,1,3,0,Transit,2014,2014-03,Space,Kepler,0.95 m Kepler Telescope,Kepler CCD Array
Kepler-357 d,Kepler-357,d,1,3,0,Transit,2014,2014-03,Space,Kepler,0.95 m Kepler Telescope,Kepler CCD Array
Kepler-358 b,Kepler-358,b,1,2,0,Transit,2014,2014-03,Space,Kepler,0.95 m Kepler Telescope,Kepler CCD Array
Kepler-358 c,Kepler-358,c,1,2,0,Transit,2014,2014-03,Space,Kepler,0.95 m Kepler Telescope,Kepler CCD Array
Kepler-359 b,Kepler-359,b,1,3,0,Transit,2014,2014-03,Space,Kepler,0.95 m Kepler Telescope,Kepler CCD Array
Kepler-359 c,Kepler-359,c,1,3,0,Transit,2014,2014-03,Space,Kepler,0.95 m Kepler Telescope,Kepler CCD Array
Kepler-359 d,Kepler-359,d,1,3,0,Transit,2014,2014-03,Space,Kepler,0.95 m Kepler Telescope,Kepler CCD Array
Kepler-360 b,Kepler-360,b,1,2,0,Transit,2014,2014-03,Space,Kepler,0.95 m Kepler Telescope,Kepler CCD Array
Kepler-360 c,Kepler-360,c,1,2,0,Transit,2014,2014-03,Space,Kepler,0.95 m Kepler Telescope,Kepler CCD Array
Kepler-361 b,Kepler-361,b,1,2,0,Transit,2014,2014-03,Space,Kepler,0.95 m Kepler Telescope,Kepler CCD Array
Kepler-361 c,Kepler-361,c,1,2,0,Transit,2014,2014-03,Space,Kepler,0.95 m Kepler Telescope,Kepler CCD Array
Kepler-362 b,Kepler-362,b,1,2,0,Transit,2014,2014-03,Space,Kepler,0.95 m Kepler Telescope,Kepler CCD Array
Kepler-362 c,Kepler-362,c,1,2,0,Transit,2014,2014-03,Space,Kepler,0.95 m Kepler Telescope,Kepler CCD Array
Kepler-363 b,Kepler-363,b,1,3,0,Transit,2014,2014-03,Space,Kepler,0.95 m Kepler Telescope,Kepler CCD Array
Kepler-363 c,Kepler-363,c,1,3,0,Transit,2014,2014-03,Space,Kepler,0.95 m Kepler Telescope,Kepler CCD Array
Kepler-363 d,Kepler-363,d,1,3,0,Transit,2014,2014-03,Space,Kepler,0.95 m Kepler Telescope,Kepler CCD Array
Kepler-364 b,Kepler-364,b,1,2,0,Transit,2014,2014-03,Space,Kepler,0.95 m Kepler Telescope,Kepler CCD Array
Kepler-364 c,Kepler-364,c,1,2,0,Transit,2014,2014-03,Space,Kepler,0.95 m Kepler Telescope,Kepler CCD Array
Kepler-365 b,Kepler-365,b,1,2,0,Transit,2014,2014-03,Space,Kepler,0.95 m Kepler Telescope,Kepler CCD Array
Kepler-365 c,Kepler-365,c,1,2,0,Transit,2014,2014-03,Space,Kepler,0.95 m Kepler Telescope,Kepler CCD Array
Kepler-366 b,Kepler-366,b,1,2,0,Transit,2014,2014-03,Space,Kepler,0.95 m Kepler Telescope,Kepler CCD Array
Kepler-366 c,Kepler-366,c,1,2,0,Transit,2014,2014-03,Space,Kepler,0.95 m Kepler Telescope,Kepler CCD Array
Kepler-367 b,Kepler-367,b,1,2,0,Transit,2014,2014-03,Space,Kepler,0.95 m Kepler Telescope,Kepler CCD Array
Kepler-367 c,Kepler-367,c,1,2,0,Transit,2014,2014-03,Space,Kepler,0.95 m Kepler Telescope,Kepler CCD Array
Kepler-368 b,Kepler-368,b,1,2,0,Transit,2014,2014-03,Space,Kepler,0.95 m Kepler Telescope,Kepler CCD Array
Kepler-368 c,Kepler-368,c,1,2,0,Transit,2014,2014-03,Space,Kepler,0.95 m Kepler Telescope,Kepler CCD Array
Kepler-369 b,Kepler-369,b,1,2,0,Transit,2014,2014-03,Space,Kepler,0.95 m Kepler Telescope,Kepler CCD Array
Kepler-369 c,Kepler-369,c,1,2,0,Transit,2014,2014-03,Space,Kepler,0.95 m Kepler Telescope,Kepler CCD Array
Kepler-37 e,Kepler-37,e,1,4,0,Transit Timing Variations,2014,2014-05,Space,Kepler,0.95 m Kepler Telescope,Kepler CCD Array
Kepler-370 b,Kepler-370,b,1,2,0,Transit,2014,2014-03,Space,Kepler,0.95 m Kepler Telescope,Kepler CCD Array
Kepler-370 c,Kepler-370,c,1,2,0,Transit,2014,2014-03,Space,Kepler,0.95 m Kepler Telescope,Kepler CCD Array
Kepler-371 b,Kepler-371,b,1,2,0,Transit,2014,2014-03,Space,Kepler,0.95 m Kepler Telescope,Kepler CCD Array
Kepler-371 c,Kepler-371,c,1,2,0,Transit,2014,2014-03,Space,Kepler,0.95 m Kepler Telescope,Kepler CCD Array
