,longitude,latitude,TOT,CR,TIME,MO,YR
60134,-73.943380680638,40.680681174251,1,FELONY ASSAULT,01/29/2013,1,2013
20904,-73.88652955858599,40.855037301955,2,BURGLARY,05/27/2013,5,2013
88102,-73.983088462141,40.746137208554,1,GRAND LARCENY,03/18/2013,3,2013
46460,-73.923776086954,40.666649539737,1,GRAND LARCENY,01/27/2013,1,2013
8700,-74.126010231245,40.629800939887,1,GRAND LARCENY,06/02/2013,6,2013
48035,-73.93616016550901,40.702111303939,1,BURGLARY,04/05/2013,4,2013
8961,-73.96707481523501,40.769535437718,2,GRAND LARCENY,06/09/2013,6,2013
71387,-73.91377872304301,40.656785974312,1,ROBBERY,05/17/2013,5,2013
3123,-73.883806510203,40.733558272977,1,FELONY ASSAULT,04/30/2013,4,2013
35515,-73.822501403573,40.740534125889,1,BURGLARY,04/13/2013,4,2013
59796,-73.86725592283,40.816596230053,1,FELONY ASSAULT,01/15/2013,1,2013
80473,-73.913495091657,40.683736734012,1,GRAND LARCENY,09/14/2013,9,2013
92610,-74.004463129201,40.729098940223,1,GRAND LARCENY,08/24/2013,8,2013
17593,-73.902621628422,40.668272211043,1,GRAND LARCENY,08/13/2013,8,2013
19205,-73.892424089161,40.826791644108,1,GRAND LARCENY OF MOTOR VEHICLE,02/18/2013,2,2013
9235,-73.943718643314,40.792873116545,1,ROBBERY,09/21/2013,9,2013
69908,-73.960003219893,40.684009327981,1,GRAND LARCENY OF MOTOR VEHICLE,12/10/2013,12,2013
27331,-74.019357917604,40.645093694629004,1,BURGLARY,10/13/2013,10,2013
66647,-73.912570718642,40.833264247517,2,BURGLARY,09/21/2013,9,2013
81574,-73.851530908786,40.833783701223,1,GRAND LARCENY,10/27/2013,10,2013
5830,-73.89037964888,40.659672778793,1,FELONY ASSAULT,03/02/2013,3,2013
28159,-73.999989176811,40.723609513206,1,GRAND LARCENY,12/27/2013,12,2013
36034,-73.780370584005,40.691201114239995,1,BURGLARY,06/11/2013,6,2013
69894,-73.930532554007,40.699961637396996,1,ROBBERY,12/02/2013,12,2013
71253,-73.739710992814,40.705584064233996,1,GRAND LARCENY,04/04/2013,4,2013
35676,-74.006402070052,40.706432621253,1,BURGLARY,05/17/2013,5,2013
61746,-73.928197979418,40.835017927902,1,GRAND LARCENY OF MOTOR VEHICLE,05/09/2013,5,2013
97118,-73.883840634309,40.747100922921,1,GRAND LARCENY OF MOTOR VEHICLE,12/29/2013,12,2013
14360,-73.890082739482,40.75018116941,1,GRAND LARCENY,11/27/2013,11,2013
71413,-73.871746649505,40.66659781012,1,GRAND LARCENY,05/06/2013,5,2013
33420,-73.990440541536,40.691311482418,1,GRAND LARCENY,02/21/2013,2,2013
12090,-73.896687002134,40.831969331089,1,ROBBERY,10/30/2013,10,2013
86467,-73.921482672938,40.869478801224,1,ROBBERY,09/18/2013,9,2013
83515,-73.946684736378,40.746447246121,1,GRAND LARCENY,12/01/2013,12,2013
50740,-73.827989097108,40.764709993462,1,FELONY ASSAULT,06/10/2013,6,2013
89467,-73.915515314571,40.83938989429,1,GRAND LARCENY,04/23/2013,4,2013
62450,-74.019757582979,40.631839052744006,4,BURGLARY,04/24/2013,4,2013
23797,-73.872761434358,40.898035038416,1,BURGLARY,08/11/2013,8,2013
66927,-73.914581377445,40.671690726869,1,ROBBERY,09/07/2013,9,2013
22825,-73.833890206638,40.873739047835,1,FELONY ASSAULT,06/26/2013,6,2013
25381,-74.003780465174,40.715932359653,1,RAPE,10/17/2013,10,2013
15775,-73.980838544302,40.688760393039,1,GRAND LARCENY,06/01/2013,6,2013
70912,-73.90230277360601,40.659546284457,1,FELONY ASSAULT,07/03/2013,7,2013
76780,-73.757694427285,40.689684401310004,2,FELONY ASSAULT,05/10/2013,5,2013
31379,-73.98376734367,40.72968800501,1,GRAND LARCENY,03/03/2013,3,2013
52841,-73.99980876633799,40.731970040484,1,ROBBERY,09/27/2013,9,2013
71491,-73.79390816852,40.686304767345,1,GRAND LARCENY,05/07/2013,5,2013
42255,-73.878749918119,40.871151758277,1,FELONY ASSAULT,12/04/2013,12,2013
35518,-73.93731564948901,40.735161597601,1,GRAND LARCENY OF MOTOR VEHICLE,04/02/2013,4,2013
14115,-73.986055063676,40.728680979433996,1,ROBBERY,11/21/2013,11,2013
11170,-73.85321010417401,40.873628005107996,1,GRAND LARCENY,08/20/2013,8,2013
27016,-73.87884885138601,40.80494391351,1,GRAND LARCENY,10/17/2013,10,2013
63058,-73.797377308884,40.737185228709,1,GRAND LARCENY OF MOTOR VEHICLE,05/10/2013,5,2013
3033,-74.00668101782401,40.610683703586,1,ROBBERY,04/27/2013,4,2013
57860,-74.078785742781,40.638272244968,1,ROBBERY,05/14/2013,5,2013
83567,-73.99653225976499,40.667959295902,1,GRAND LARCENY,11/21/2013,11,2013
38296,-73.965928154682,40.795047413479,1,GRAND LARCENY,08/04/2013,8,2013
95668,-73.88709582786801,40.813191950638,1,FELONY ASSAULT,11/19/2013,11,2013
76811,-73.883287207648,40.751933868741006,1,GRAND LARCENY,05/22/2013,5,2013
58734,-73.862041708476,40.87458033162,1,GRAND LARCENY,06/05/2013,6,2013
9340,-73.931418941924,40.665679953531,1,FELONY ASSAULT,06/03/2013,6,2013
51341,-73.948481122856,40.654245871279,1,FELONY ASSAULT,08/14/2013,8,2013
8682,-73.927342598048,40.764535526696,1,BURGLARY,06/25/2013,6,2013
18598,-73.987481372072,40.722576803643,1,GRAND LARCENY,01/13/2013,1,2013
28867,-73.939601910562,40.724804110084,1,FELONY ASSAULT,02/24/2013,2,2013
35766,-73.993424142362,40.749698201205,1,GRAND LARCENY,05/08/2013,5,2013
75506,-73.851712114636,40.885433761778,1,ROBBERY,05/28/2013,5,2013
25923,-73.958400946008,40.657343255429,1,ROBBERY,09/21/2013,9,2013
33429,-73.94315821543701,40.700575158646004,1,ROBBERY,02/27/2013,2,2013
96084,-73.72798088055801,40.752648941132996,1,GRAND LARCENY,11/05/2013,11,2013
35779,-73.96016236793899,40.713345453373,1,GRAND LARCENY,02/11/2013,2,2013
32488,-73.938097851762,40.825367762112,1,BURGLARY,01/18/2013,1,2013
16165,-73.826039544604,40.880871924635,1,GRAND LARCENY OF MOTOR VEHICLE,02/28/2013,2,2013
13371,-73.886298007036,40.814977981298,1,BURGLARY,10/07/2013,10,2013
49251,-73.826318943728,40.6867040913,1,BURGLARY,04/11/2013,4,2013
6045,-73.883793379289,40.66867193942,1,BURGLARY,02/23/2013,2,2013
42438,-73.891851039725,40.672489548857996,1,FELONY ASSAULT,12/08/2013,12,2013
78447,-73.93570983720299,40.638023253006,1,BURGLARY,08/06/2013,8,2013
37779,-73.72817502204799,40.690919487485,1,GRAND LARCENY,02/15/2013,2,2013
7427,-73.78014982989801,40.688159478082,1,FELONY ASSAULT,03/04/2013,3,2013
49158,-73.945328665101,40.701372192358,1,ROBBERY,04/20/2013,4,2013
47297,-73.975933046423,40.64310283657,1,GRAND LARCENY,02/25/2013,2,2013
96219,-73.991490780581,40.712528603312,1,ROBBERY,12/08/2013,12,2013
45848,-73.82374198719499,40.705367375997,1,FELONY ASSAULT,01/26/2013,1,2013
24293,-73.744502289285,40.710837319401996,1,BURGLARY,07/27/2013,7,2013
88877,-73.922697812733,40.660846356129,1,FELONY ASSAULT,09/26/2013,9,2013
11906,-73.992596956344,40.755928725736,2,GRAND LARCENY,09/06/2013,9,2013
23052,-73.89829895665399,40.666294974585,3,FELONY ASSAULT,06/14/2013,6,2013
20705,-73.935159657811,40.79634344761,1,ROBBERY,05/01/2013,5,2013
65099,-73.962252194049,40.685621268786,1,BURGLARY,07/04/2013,7,2013
95722,-73.83442019789099,40.717537060689004,1,GRAND LARCENY OF MOTOR VEHICLE,10/09/2013,10,2013
46317,-73.889529276909,40.864114197129,1,FELONY ASSAULT,01/02/2013,1,2013
38303,-73.933329007562,40.803088944359004,1,GRAND LARCENY,08/27/2013,8,2013
25901,-73.90282083505001,40.628036574768,1,ROBBERY,09/19/2013,9,2013
20711,-73.968442256928,40.794145113237,1,GRAND LARCENY,05/05/2013,5,2013
19955,-74.015128010507,40.711240630363,1,GRAND LARCENY,03/08/2013,3,2013
75833,-73.944334370197,40.786431529653,1,FELONY ASSAULT,04/27/2013,4,2013
79034,-74.005246070591,40.729093417703,1,GRAND LARCENY,08/06/2013,8,2013
37230,-73.836442366021,40.68584334177,1,BURGLARY,05/23/2013,5,2013
57506,-73.958291130546,40.815690723593995,1,ROBBERY,04/20/2013,4,2013
1232,-73.98752166236301,40.73860892304,1,GRAND LARCENY,12/30/2013,12,2013
12992,-73.914131647201,40.825003827458,1,GRAND LARCENY,11/08/2013,11,2013
53206,-73.88039387871001,40.879859644028,1,GRAND LARCENY,09/28/2013,9,2013
58133,-73.963014662278,40.81262373754,1,GRAND LARCENY OF MOTOR VEHICLE,12/06/2013,12,2013
76764,-73.848224948502,40.735311945250004,1,GRAND LARCENY,05/18/2013,5,2013
35720,-73.994330142951,40.7484548785,1,GRAND LARCENY,05/25/2013,5,2013
13107,-73.888788864752,40.863674333930994,1,BURGLARY,11/20/2013,11,2013
27882,-73.983951234607,40.76014926276,1,GRAND LARCENY,11/14/2013,11,2013
64695,-73.939046965823,40.633361675695,1,GRAND LARCENY,07/22/2013,7,2013
53354,-73.880706534961,40.681418270931,1,FELONY ASSAULT,09/17/2013,9,2013
42325,-73.928917865671,40.658432216121,1,GRAND LARCENY OF MOTOR VEHICLE,12/13/2013,12,2013
45770,-73.777046221099,40.684623719883,1,GRAND LARCENY OF MOTOR VEHICLE,12/11/2013,12,2013
87163,-73.938125120531,40.656153879407,1,FELONY ASSAULT,01/31/2013,1,2013
15255,-73.778849228138,40.698699675835,1,GRAND LARCENY,12/14/2013,12,2013
26981,-73.945149428448,40.840316292576,1,FELONY ASSAULT,10/26/2013,10,2013
71669,-73.942228831962,40.711803528400004,1,ROBBERY,11/11/2013,11,2013
96396,-73.970535720402,40.756139285606,1,GRAND LARCENY,12/17/2013,12,2013
10135,-73.948409258153,40.639986684876,1,GRAND LARCENY,09/29/2013,9,2013
28967,-73.916235950498,40.691852307337996,1,FELONY ASSAULT,12/05/2013,12,2013
14248,-73.95657459672,40.805369932724,1,GRAND LARCENY,11/23/2013,11,2013
34153,-73.86618035978199,40.760380069307,1,ROBBERY,01/30/2013,1,2013
768,-73.988641704156,40.603423352514,1,GRAND LARCENY,11/25/2013,11,2013
91037,-73.967830949972,40.579372220441996,2,BURGLARY,06/05/2013,6,2013
2278,-73.776654521789,40.714373580781,1,GRAND LARCENY,11/09/2013,11,2013
12632,-73.82236098617601,40.759362917233,1,GRAND LARCENY,09/03/2013,9,2013
8110,-73.952193996321,40.733634417653,1,FELONY ASSAULT,04/21/2013,4,2013
4871,-73.916332279126,40.701297126772,1,BURGLARY,01/12/2013,1,2013
23391,-73.896546158147,40.829589536878,1,FELONY ASSAULT,02/26/2013,2,2013
89997,-73.756791754129,40.689023749794,1,FELONY ASSAULT,04/09/2013,4,2013
14790,-73.905051700338,40.817338942286,1,GRAND LARCENY,12/08/2013,12,2013
23151,-73.907963031894,40.687152429225996,1,ROBBERY,06/29/2013,6,2013
84795,-74.006933590042,40.719127113611,1,GRAND LARCENY,05/08/2013,5,2013
47057,-73.922299637531,40.668493043057,2,FELONY ASSAULT,04/10/2013,4,2013
7106,-73.94469857710301,40.795750067875,1,GRAND LARCENY,05/08/2013,5,2013
36845,-73.850388210667,40.686276779594,1,GRAND LARCENY,06/08/2013,6,2013
