,longitude,latitude,TOT,CR,TIME,MO,YR
11445,-73.815096691856,40.730042983825,1,GRAND LARCENY,08/18/2013,8,2013
28999,-73.952908646328,40.712911787046,1,BURGLARY,12/13/2013,12,2013
47769,-73.965113813189,40.639836513136004,1,GRAND LARCENY,03/30/2013,3,2013
41099,-73.940220588697,40.686660435376,1,FELONY ASSAULT,10/08/2013,10,2013
5526,-74.01374696977,40.643527230173,1,FELONY ASSAULT,01/12/2013,1,2013
80610,-73.93018764409601,40.678047177018,1,GRAND LARCENY,09/28/2013,9,2013
61115,-73.852676931635,40.825408292824996,1,FELONY ASSAULT,03/03/2013,3,2013
30888,-74.01304006111201,40.621802314197,1,GRAND LARCENY OF MOTOR VEHICLE,12/07/2013,12,2013
56956,-73.867258463997,40.831623571388,1,ROBBERY,01/29/2013,1,2013
18412,-73.951892283792,40.781697521142,1,BURGLARY,01/14/2013,1,2013
76584,-73.98941364247,40.731659396741,2,GRAND LARCENY,05/25/2013,5,2013
5076,-73.989264251756,40.718300649205,1,ROBBERY,01/25/2013,1,2013
73877,-73.913423174217,40.833550340775,1,GRAND LARCENY,02/18/2013,2,2013
61404,-74.139354012407,40.572633306972996,1,GRAND LARCENY,01/27/2013,1,2013
9619,-73.821386178599,40.752705388805,1,ROBBERY,06/03/2013,6,2013
36918,-73.826013725271,40.730438773509,1,GRAND LARCENY OF MOTOR VEHICLE,06/02/2013,6,2013
74798,-73.905795499895,40.817649705835,1,ROBBERY,03/07/2013,3,2013
92679,-73.997422963793,40.659203475579,1,GRAND LARCENY,08/29/2013,8,2013
50853,-73.90738435898,40.654664775906,1,GRAND LARCENY,05/22/2013,5,2013
36178,-73.997531432164,40.747387284432,1,GRAND LARCENY OF MOTOR VEHICLE,07/28/2013,7,2013
85788,-73.895719944394,40.658159879642,1,GRAND LARCENY,08/10/2013,8,2013
43325,-73.981882427206,40.589262070777,1,ROBBERY,01/20/2013,1,2013
37483,-73.891550624123,40.863891049338996,1,GRAND LARCENY,08/03/2013,8,2013
24954,-73.941224221275,40.836609000413,1,BURGLARY,07/04/2013,7,2013
42687,-73.813532597992,40.726815366048,1,GRAND LARCENY,12/20/2013,12,2013
48214,-73.916614639643,40.810024965586,1,BURGLARY,05/20/2013,5,2013
54803,-73.957176948503,40.688830874172,1,GRAND LARCENY,10/01/2013,10,2013
94337,-73.90136148197699,40.750125506182,1,GRAND LARCENY OF MOTOR VEHICLE,09/22/2013,9,2013
13622,-74.010018907716,40.629230019631,1,GRAND LARCENY,10/23/2013,10,2013
30839,-73.894871208748,40.82393664993,1,ROBBERY,12/04/2013,12,2013
80757,-73.813182404098,40.675416196361,1,ROBBERY,09/20/2013,9,2013
50725,-73.813313828647,40.730210282376,1,FELONY ASSAULT,06/11/2013,6,2013
11640,-74.011345511578,40.718920906412,1,GRAND LARCENY,09/23/2013,9,2013
58481,-73.95647400336,40.771390109565,1,GRAND LARCENY,08/09/2013,8,2013
53589,-73.824297648872,40.680651533235,1,GRAND LARCENY OF MOTOR VEHICLE,09/02/2013,9,2013
75076,-73.91342128551,40.773907431836,1,BURGLARY,01/28/2013,1,2013
4646,-73.905387055394,40.667854567476,1,GRAND LARCENY OF MOTOR VEHICLE,07/07/2013,7,2013
96095,-73.770869518753,40.76339737293,1,GRAND LARCENY,11/08/2013,11,2013
53115,-73.821546711051,40.830206006749,1,BURGLARY,09/15/2013,9,2013
64438,-73.92004575050801,40.696323502070996,1,GRAND LARCENY OF MOTOR VEHICLE,05/23/2013,5,2013
87956,-73.89424805410499,40.863649274874,1,GRAND LARCENY,09/15/2013,9,2013
11772,-73.993676483599,40.714823364686,1,ROBBERY,10/21/2013,10,2013
32181,-73.736139836584,40.691119180586,1,ROBBERY,01/27/2013,1,2013
82729,-74.108996276137,40.635080091011,1,BURGLARY,12/20/2013,12,2013
49090,-73.828570561732,40.677652445928004,5,GRAND LARCENY,04/10/2013,4,2013
88992,-73.877873202493,40.842551023569996,1,FELONY ASSAULT,05/30/2013,5,2013
43043,-73.892583201266,40.741658330726,1,BURGLARY,11/27/2013,11,2013
56007,-73.948467462816,40.578615835502,1,BURGLARY,12/17/2013,12,2013
18841,-73.858640219315,40.834945414464,1,GRAND LARCENY OF MOTOR VEHICLE,01/22/2013,1,2013
9654,-73.971118837905,40.635001863649,1,ROBBERY,05/16/2013,5,2013
92537,-73.889218581998,40.753292887108,1,FELONY ASSAULT,07/13/2013,7,2013
80866,-73.879331656015,40.670127568634,1,FELONY ASSAULT,08/14/2013,8,2013
14692,-73.941709285069,40.790316773126,1,BURGLARY,12/05/2013,12,2013
80062,-73.99415589871,40.759952610854995,1,GRAND LARCENY,09/02/2013,9,2013
51702,-73.83384364885801,40.685447115754,1,ROBBERY,07/12/2013,7,2013
1483,-73.85805942536899,40.876812428856,1,GRAND LARCENY,12/02/2013,12,2013
52758,-74.00639119702,40.705883669028,1,GRAND LARCENY,10/18/2013,10,2013
49281,-73.833513653512,40.758407933572,1,FELONY ASSAULT,04/03/2013,4,2013
17909,-73.803690656558,40.708293788647,1,ROBBERY,09/19/2013,9,2013
30629,-73.867759835205,40.822994754412996,1,GRAND LARCENY,11/18/2013,11,2013
72093,-73.885589895041,40.730933326291,1,GRAND LARCENY,07/08/2013,7,2013
25622,-73.929576562374,40.864104418816,1,BURGLARY,09/25/2013,9,2013
30818,-73.965237405199,40.769169847568996,1,GRAND LARCENY OF MOTOR VEHICLE,12/11/2013,12,2013
55249,-73.961754558704,40.761151353106996,1,ROBBERY,11/03/2013,11,2013
837,-73.98250170435401,40.754162763098,3,GRAND LARCENY,11/23/2013,11,2013
38618,-73.934344349217,40.817373066689,2,BURGLARY,07/21/2013,7,2013
96243,-73.76479642352601,40.677882850112,1,BURGLARY,12/02/2013,12,2013
46090,-73.957339885301,40.591964697813,1,GRAND LARCENY,04/29/2013,4,2013
29076,-73.734423704773,40.698281855679,1,ROBBERY,12/15/2013,12,2013
69137,-73.9878952176,40.72828594272,1,GRAND LARCENY,11/11/2013,11,2013
39166,-73.965969650907,40.756261540760995,1,GRAND LARCENY,09/24/2013,9,2013
36041,-73.902833072235,40.77057236421,1,GRAND LARCENY,06/01/2013,6,2013
36913,-73.981963178387,40.730190026792,1,BURGLARY,02/22/2013,2,2013
24326,-73.828969017859,40.759861482608,2,BURGLARY,07/06/2013,7,2013
18404,-73.793574324638,40.596137721399,1,BURGLARY,01/17/2013,1,2013
44964,-73.994316020224,40.575577775904,1,GRAND LARCENY,08/31/2013,8,2013
59936,-73.94534822112401,40.598327554361,1,BURGLARY,01/23/2013,1,2013
26436,-73.96736128894901,40.693286229681,1,GRAND LARCENY,08/30/2013,8,2013
47148,-73.864428517576,40.691767255669,1,FELONY ASSAULT,02/13/2013,2,2013
47790,-74.005377187666,40.654885838739,1,ROBBERY,03/05/2013,3,2013
10662,-73.87307089201,40.745453685829,1,BURGLARY,07/31/2013,7,2013
77685,-73.962252194049,40.685621268786,1,ROBBERY,06/03/2013,6,2013
55973,-73.891778483483,40.868277291375,1,GRAND LARCENY,12/10/2013,12,2013
65647,-73.901038122339,40.829313518038,1,ROBBERY,08/27/2013,8,2013
79446,-73.986190858418,40.769822022789,1,GRAND LARCENY,07/25/2013,7,2013
97415,-73.818500250314,40.720353895661,1,GRAND LARCENY,11/11/2013,11,2013
93008,-73.94325925328,40.789494127045,1,FELONY ASSAULT,07/09/2013,7,2013
94130,-73.954715888699,40.675657767332,1,BURGLARY,09/30/2013,9,2013
60942,-73.981933189271,40.734337346276,1,GRAND LARCENY,03/04/2013,3,2013
63520,-73.965013563591,40.755443320169,1,FELONY ASSAULT,06/11/2013,6,2013
74514,-73.785530236179,40.671182178531,1,GRAND LARCENY,02/21/2013,2,2013
30881,-73.922328942294,40.621658789342,1,GRAND LARCENY OF MOTOR VEHICLE,12/09/2013,12,2013
84278,-73.986247242942,40.724053342607,1,GRAND LARCENY,10/13/2013,10,2013
95520,-73.955710747554,40.708469128104,1,GRAND LARCENY OF MOTOR VEHICLE,10/20/2013,10,2013
30481,-73.960242729825,40.657234115544,1,GRAND LARCENY,05/16/2013,5,2013
53139,-73.92204197071901,40.845767703932,1,FELONY ASSAULT,09/25/2013,9,2013
56839,-73.930908427746,40.692227105877,1,FELONY ASSAULT,06/08/2013,6,2013
72449,-73.91658811037699,40.808133831420996,1,GRAND LARCENY,09/28/2013,9,2013
73567,-73.877756161837,40.843305694882005,1,GRAND LARCENY OF MOTOR VEHICLE,01/17/2013,1,2013
76470,-73.759833942364,40.692351322672,1,GRAND LARCENY,04/01/2013,4,2013
71358,-73.899666582835,40.847438407041004,1,GRAND LARCENY,05/05/2013,5,2013
30869,-73.886248207803,40.869476894312,1,GRAND LARCENY,12/24/2013,12,2013
91038,-73.95969903287501,40.578801481437004,1,BURGLARY,06/25/2013,6,2013
85043,-73.99075183073,40.734837937322,1,GRAND LARCENY,06/08/2013,6,2013
26751,-73.949546354524,40.589573563942,1,GRAND LARCENY,11/25/2013,11,2013
32558,-73.826250193834,40.830709983085,1,GRAND LARCENY,01/28/2013,1,2013
48659,-73.98020987956299,40.778008704446,1,GRAND LARCENY,04/04/2013,4,2013
83897,-73.86386923405401,40.854428166741,1,GRAND LARCENY OF MOTOR VEHICLE,06/25/2013,6,2013
43580,-73.804490875654,40.69617149099,1,FELONY ASSAULT,02/16/2013,2,2013
35678,-74.011633247767,40.713983053658,1,BURGLARY,05/26/2013,5,2013
78400,-73.982511549464,40.579180512108,1,FELONY ASSAULT,08/25/2013,8,2013
9003,-73.963838604491,40.805460271346995,1,BURGLARY,06/12/2013,6,2013
69951,-73.959825373814,40.715878751017,1,GRAND LARCENY,12/09/2013,12,2013
42493,-73.945837016019,40.688263417582,1,BURGLARY,12/08/2013,12,2013
70893,-73.791157406897,40.70229361837,1,GRAND LARCENY,02/18/2013,2,2013
76547,-74.012091877624,40.716818344338,3,GRAND LARCENY,05/28/2013,5,2013
13455,-73.845023360205,40.89396919086,1,BURGLARY,10/30/2013,10,2013
69735,-73.892336474795,40.641989979205,1,ROBBERY,12/06/2013,12,2013
55744,-73.946839741359,40.778332999575,1,ROBBERY,12/17/2013,12,2013
81133,-73.895834347353,40.824944835481,1,BURGLARY,11/02/2013,11,2013
82145,-73.890149953223,40.753194968119004,1,GRAND LARCENY,08/05/2013,8,2013
41485,-73.991462581797,40.7355516281,1,GRAND LARCENY,11/21/2013,11,2013
36419,-73.893779931605,40.817208341587,1,FELONY ASSAULT,06/10/2013,6,2013
68565,-73.90583670857299,40.701711713018,1,RAPE,10/12/2013,10,2013
35137,-73.892056450217,40.846270525514,1,ROBBERY,04/29/2013,4,2013
33072,-73.874812880927,40.674986487714,1,GRAND LARCENY,03/16/2013,3,2013
45775,-73.928423175188,40.76341634795,1,ROBBERY,12/04/2013,12,2013
92673,-73.988615200708,40.758848809465,1,FELONY ASSAULT,08/14/2013,8,2013
35161,-73.888287382372,40.86735449065,1,GRAND LARCENY,04/20/2013,4,2013
75473,-73.824316955509,40.830707054257005,1,FELONY ASSAULT,05/17/2013,5,2013
65371,-74.135796881807,40.637777139558004,1,FELONY ASSAULT,07/19/2013,7,2013
53903,-73.79716105630999,40.700355565998,1,FELONY ASSAULT,08/15/2013,8,2013
76032,-73.862461514316,40.8691628011,1,FELONY ASSAULT,04/09/2013,4,2013
86453,-73.921407557468,40.691356407122996,1,ROBBERY,12/01/2013,12,2013
89339,-73.949229391187,40.821780365864,1,BURGLARY,04/21/2013,4,2013
89925,-73.898192263352,40.750367031318,1,BURGLARY,04/24/2013,4,2013
56201,-74.004042314221,40.750927964888,1,GRAND LARCENY,06/21/2013,6,2013
89094,-73.737856402416,40.768133048446,1,GRAND LARCENY,03/16/2013,3,2013
40545,-73.896489203447,40.852263537709,1,BURGLARY,05/28/2013,5,2013
66157,-74.199698356591,40.536831456666,1,BURGLARY,08/18/2013,8,2013
50156,-73.867047072563,40.830717571560996,1,GRAND LARCENY,06/24/2013,6,2013
29790,-73.812045843787,40.682147290439,2,FELONY ASSAULT,02/05/2013,2,2013
22579,-73.99022823656901,40.73746462277,1,GRAND LARCENY,06/02/2013,6,2013
72214,-73.886432798024,40.850310824477,1,GRAND LARCENY,08/01/2013,8,2013
65346,-73.862376662497,40.751183424485,1,GRAND LARCENY,07/28/2013,7,2013
46857,-73.957856354963,40.65221580494,1,FELONY ASSAULT,04/15/2013,4,2013
278,-74.017526459382,40.641712413239006,1,BURGLARY,10/08/2013,10,2013
85174,-73.900302212472,40.657263654031,1,ROBBERY,11/04/2013,11,2013
62578,-74.00979151109,40.675402763932,1,FELONY ASSAULT,04/03/2013,4,2013
4979,-73.941207273915,40.679938995354,1,FELONY ASSAULT,07/06/2013,7,2013
60714,-73.783094882267,40.712824121353,1,ROBBERY,02/21/2013,2,2013
10957,-73.95993930863901,40.760384952693,1,GRAND LARCENY,08/08/2013,8,2013
10917,-73.989070118272,40.758220307078,2,GRAND LARCENY,08/03/2013,8,2013
96389,-73.862106499037,40.881697399979,1,FELONY ASSAULT,11/17/2013,11,2013
4330,-73.96231525223,40.625082392112006,1,GRAND LARCENY,09/25/2013,9,2013
95367,-73.707468934295,40.749401027251004,1,GRAND LARCENY,08/20/2013,8,2013
81050,-73.854260606933,40.692940570194004,1,RAPE,08/03/2013,8,2013
27721,-73.860488171957,40.755043015809,1,GRAND LARCENY,10/21/2013,10,2013
13294,-73.960760127752,40.800878317171,1,GRAND LARCENY,10/22/2013,10,2013
56446,-73.979136516839,40.758125614993,1,GRAND LARCENY,06/30/2013,6,2013
73916,-73.845745976384,40.895863992136995,1,GRAND LARCENY,02/09/2013,2,2013
31538,-73.91757691083299,40.654315709830996,1,FELONY ASSAULT,09/07/2013,9,2013
39364,-73.875323058102,40.834053410365,1,ROBBERY,09/26/2013,9,2013
558,-73.885113890889,40.858436588215,1,ROBBERY,11/28/2013,11,2013
88714,-73.977597294538,40.784148198619,1,BURGLARY,02/16/2013,2,2013
41689,-73.942046796678,40.759372764823,2,BURGLARY,11/12/2013,11,2013
3008,-73.86111083523599,40.83552206149,1,GRAND LARCENY,04/30/2013,4,2013
78647,-73.979388716755,40.677995146177004,1,BURGLARY,07/01/2013,7,2013
10144,-73.821301638637,40.889164636482,1,BURGLARY,08/19/2013,8,2013
34603,-73.892376663203,40.856113339074994,1,ROBBERY,05/31/2013,5,2013
82650,-73.73879328969599,40.763057382053,1,FELONY ASSAULT,12/04/2013,12,2013
90671,-73.992664164735,40.735609350731,1,FELONY ASSAULT,06/13/2013,6,2013
42201,-73.88719306734801,40.855995854251,1,ROBBERY,12/21/2013,12,2013
6337,-74.005417553063,40.708148149139,1,GRAND LARCENY,03/25/2013,3,2013
97269,-73.961421097783,40.688717094891,1,GRAND LARCENY,11/17/2013,11,2013
94560,-73.849606674164,40.578762264618,1,GRAND LARCENY,08/07/2013,8,2013
70975,-73.91357005372599,40.842882468418004,1,GRAND LARCENY OF MOTOR VEHICLE,03/29/2013,3,2013
1333,-73.944693768318,40.797191048305,1,GRAND LARCENY OF MOTOR VEHICLE,12/22/2013,12,2013
60546,-73.947262179893,40.632459956967004,1,ROBBERY,02/11/2013,2,2013
57889,-73.97649807594401,40.788317229062,1,GRAND LARCENY,06/30/2013,6,2013
84663,-73.907646144387,40.85086223055,1,ROBBERY,04/02/2013,4,2013
62327,-73.898138345709,40.849358362408,1,FELONY ASSAULT,04/23/2013,4,2013
2908,-73.953371293435,40.680641740226,1,GRAND LARCENY,03/01/2013,3,2013
34117,-73.90651464928601,40.668341315142,1,FELONY ASSAULT,03/06/2013,3,2013
87308,-73.86854566618399,40.818433926904994,1,ROBBERY,02/13/2013,2,2013
36957,-73.97647552472701,40.739716076222,1,FELONY ASSAULT,02/22/2013,2,2013
4179,-73.912597600654,40.903577899849,1,BURGLARY,07/27/2013,7,2013
19091,-74.01374696977,40.643527230173,1,GRAND LARCENY,01/12/2013,1,2013
29940,-73.959768581309,40.696418351431,1,GRAND LARCENY OF MOTOR VEHICLE,02/21/2013,2,2013
5123,-73.966925764438,40.75707426383,1,GRAND LARCENY,01/25/2013,1,2013
28945,-73.936022356435,40.695386547054,1,GRAND LARCENY,12/14/2013,12,2013
9590,-73.88042604155301,40.825783494937,1,FELONY ASSAULT,09/10/2013,9,2013
19282,-73.84627450597901,40.897239784461,1,GRAND LARCENY,02/05/2013,2,2013
19814,-73.818564839103,40.67012463704,1,GRAND LARCENY,02/16/2013,2,2013
40289,-73.927388785598,40.834751184208,1,BURGLARY,11/06/2013,11,2013
9507,-73.76638475689299,40.601147089043,1,RAPE,06/11/2013,6,2013
70396,-73.968214776653,40.604937390894,1,ROBBERY,06/14/2013,6,2013
39605,-73.905396432631,40.630745086562,1,BURGLARY,09/01/2013,9,2013
66984,-73.865744862063,40.675574625277,1,ROBBERY,09/25/2013,9,2013
58202,-73.939961336776,40.662231796880995,1,GRAND LARCENY,12/04/2013,12,2013
60206,-73.917376804803,40.827528592668,1,ROBBERY,02/27/2013,2,2013
7284,-73.881350464988,40.854474916821,1,ROBBERY,05/16/2013,5,2013
38536,-73.964349943318,40.774705715085,2,GRAND LARCENY,07/15/2013,7,2013
70510,-73.821352435644,40.680498780139,1,ROBBERY,06/29/2013,6,2013
8856,-73.854914390034,40.757072734277,1,FELONY ASSAULT,08/21/2013,8,2013
62847,-73.886513429479,40.764916999295004,1,GRAND LARCENY,04/02/2013,4,2013
76993,-73.983202729201,40.722345699239,1,GRAND LARCENY,07/27/2013,7,2013
59153,-73.960824936012,40.709168152097,1,ROBBERY,10/05/2013,10,2013
44895,-73.884958626021,40.812352697220994,1,GRAND LARCENY,08/04/2013,8,2013
19278,-73.835136272465,40.89180914795,1,GRAND LARCENY OF MOTOR VEHICLE,02/18/2013,2,2013
4155,-73.80485702855799,40.734941953434,1,FELONY ASSAULT,08/16/2013,8,2013
57469,-74.014260863264,40.704450195972,1,GRAND LARCENY,04/29/2013,4,2013
51913,-73.987338909472,40.712868572013996,1,BURGLARY,08/25/2013,8,2013
72169,-73.936230911969,40.82043997695,1,FELONY ASSAULT,08/26/2013,8,2013
15781,-73.96016236793899,40.713345453373,1,ROBBERY,06/02/2013,6,2013
20832,-73.921451884683,40.831264252574,1,FELONY ASSAULT,05/18/2013,5,2013
20497,-74.113331849073,40.608223583394,1,GRAND LARCENY,01/30/2013,1,2013
56904,-74.001688719672,40.735535463663,1,GRAND LARCENY OF MOTOR VEHICLE,01/04/2013,1,2013
68543,-73.84833569983,40.696166256413,1,FELONY ASSAULT,10/28/2013,10,2013
93053,-73.94897700123299,40.825809498737,1,RAPE,07/04/2013,7,2013
43297,-73.923193469536,40.840789575422,1,ROBBERY,01/04/2013,1,2013
60639,-73.93083307980099,40.691862006212,1,GRAND LARCENY,02/28/2013,2,2013
70497,-73.91103665226301,40.699531014674,1,ROBBERY,06/05/2013,6,2013
63719,-73.92565314649299,40.835677791106,1,GRAND LARCENY OF MOTOR VEHICLE,06/09/2013,6,2013
14180,-73.974201304803,40.751103555279,1,FELONY ASSAULT,11/28/2013,11,2013
34405,-73.962047223276,40.767005985236004,1,GRAND LARCENY,05/10/2013,5,2013
4562,-74.000655586847,40.619925614451,1,ROBBERY,10/07/2013,10,2013
69045,-73.87307089201,40.745453685829,1,GRAND LARCENY,11/02/2013,11,2013
37879,-73.951086137686,40.802612030091,1,GRAND LARCENY,02/16/2013,2,2013
49904,-73.909627742858,40.836986553947,1,ROBBERY,05/26/2013,5,2013
11535,-74.003857519,40.738398188546,1,GRAND LARCENY,10/27/2013,10,2013
65094,-73.924999385891,40.678296431339,1,BURGLARY,07/04/2013,7,2013
61854,-73.986054194975,40.577665865493,1,BURGLARY,05/23/2013,5,2013
66007,-73.785927608564,40.739434431113,1,GRAND LARCENY OF MOTOR VEHICLE,08/12/2013,8,2013
14523,-74.08471526713001,40.614616163352,1,GRAND LARCENY,12/20/2013,12,2013
17241,-73.955072831357,40.820100278516,3,FELONY ASSAULT,07/20/2013,7,2013
49236,-73.741422810572,40.681768717451,1,GRAND LARCENY OF MOTOR VEHICLE,04/20/2013,4,2013
47877,-74.105356244399,40.618436321246,1,GRAND LARCENY,01/05/2013,1,2013
58082,-73.847355611794,40.733614535854,1,GRAND LARCENY OF MOTOR VEHICLE,11/10/2013,11,2013
65327,-73.867967523451,40.760203722884995,1,FELONY ASSAULT,07/11/2013,7,2013
91671,-73.986590389651,40.704085244565,1,GRAND LARCENY,05/23/2013,5,2013
17429,-73.942069175125,40.750243749645,1,GRAND LARCENY OF MOTOR VEHICLE,07/03/2013,7,2013
6707,-73.98658518256799,40.64034606312,1,GRAND LARCENY,03/25/2013,3,2013
96178,-73.819413413786,40.817379343962,1,BURGLARY,11/26/2013,11,2013
52105,-73.923574589679,40.814193533688,1,FELONY ASSAULT,08/21/2013,8,2013
88736,-73.95109110885299,40.790930466559,1,GRAND LARCENY,02/20/2013,2,2013
62079,-73.987971800531,40.743758124077,1,RAPE,04/22/2013,4,2013
57302,-73.947641743022,40.796157662289,1,ROBBERY,03/02/2013,3,2013
28453,-73.949198649945,40.814720934244,1,ROBBERY,12/29/2013,12,2013
70758,-73.859997641167,40.847611170256,1,GRAND LARCENY,01/22/2013,1,2013
9033,-73.94506504565601,40.828711610294,1,FELONY ASSAULT,06/09/2013,6,2013
29148,-73.811949465395,40.777695022933,1,GRAND LARCENY,12/29/2013,12,2013
15815,-73.872266972714,40.720530402129995,1,ROBBERY,06/06/2013,6,2013
49583,-73.95081246334,40.742820523075,1,GRAND LARCENY,05/19/2013,5,2013
17665,-73.808536594106,40.674996841802,1,GRAND LARCENY OF MOTOR VEHICLE,08/29/2013,8,2013
6118,-73.95530273424501,40.709113989834,2,GRAND LARCENY,02/12/2013,2,2013
45202,-73.897306800624,40.856510325352,1,ROBBERY,09/06/2013,9,2013
91859,-74.003046750592,40.605737736532,1,GRAND LARCENY,07/06/2013,7,2013
7663,-73.94340607110601,40.833442694299,1,FELONY ASSAULT,04/12/2013,4,2013
85640,-77.519584371673,40.112385297478,116,GRAND LARCENY,08/14/2013,8,2013
79424,-73.97129703785599,40.765177918419,2,GRAND LARCENY,07/06/2013,7,2013
6505,-73.953144697192,40.818414253795,1,FELONY ASSAULT,03/31/2013,3,2013
70035,-74.022265845181,40.634042659263,1,GRAND LARCENY,08/18/2013,8,2013
89165,-73.979404978561,40.695383273408,1,ROBBERY,03/26/2013,3,2013
9289,-73.94237577439999,40.637796224568,3,BURGLARY,06/24/2013,6,2013
83085,-73.888788864752,40.863674333930994,1,GRAND LARCENY OF MOTOR VEHICLE,12/31/2013,12,2013
19369,-73.972039151284,40.639868598239005,1,GRAND LARCENY,02/18/2013,2,2013
67264,-73.944486878241,40.664152670597,2,BURGLARY,08/15/2013,8,2013
95676,-73.812654098325,40.786482086259,1,GRAND LARCENY OF MOTOR VEHICLE,10/05/2013,10,2013
28101,-73.896337719999,40.675776432336,1,GRAND LARCENY,02/19/2013,2,2013
42615,-73.857414987892,40.679887628485,1,GRAND LARCENY OF MOTOR VEHICLE,12/21/2013,12,2013
75317,-73.976219897064,40.788635560913,1,GRAND LARCENY,05/07/2013,5,2013
95821,-73.919729999792,40.694994814089,1,GRAND LARCENY,10/12/2013,10,2013
16659,-73.996568743014,40.729554605032,3,GRAND LARCENY,05/07/2013,5,2013
27711,-73.92578213743,40.762160329037,1,FELONY ASSAULT,10/09/2013,10,2013
30784,-74.086341868755,40.610725578221,1,GRAND LARCENY,11/05/2013,11,2013
33077,-73.874172353722,40.672449614001,1,FELONY ASSAULT,03/18/2013,3,2013
31899,-73.895652600988,40.742687690099004,1,ROBBERY,10/16/2013,10,2013
66793,-73.97630748010499,40.613552510622,1,BURGLARY,09/21/2013,9,2013
60468,-73.958866672518,40.644368834046,1,GRAND LARCENY,06/29/2013,6,2013
35982,-73.85623058806699,40.754324145841,1,ROBBERY,05/16/2013,5,2013
53486,-73.946894425178,40.714292529774,1,RAPE,09/24/2013,9,2013
34783,-74.164164381403,40.632055674843,1,GRAND LARCENY,03/05/2013,3,2013
66841,-73.947164697202,40.650924087163,1,GRAND LARCENY,09/27/2013,9,2013
26803,-73.930233710291,40.640904832055995,1,BURGLARY,11/09/2013,11,2013
10422,-73.99277599096,40.669353468049,1,GRAND LARCENY OF MOTOR VEHICLE,07/21/2013,7,2013
38406,-73.85710353319399,40.831968249098,1,GRAND LARCENY,08/01/2013,8,2013
41285,-73.801462127345,40.729910492161004,1,BURGLARY,10/16/2013,10,2013
29664,-73.956082803198,40.778814477067,1,ROBBERY,01/17/2013,1,2013
68142,-73.843421263029,40.863163322505,1,BURGLARY,10/23/2013,10,2013
54047,-73.785702117213,40.840956418962996,1,BURGLARY,11/22/2013,11,2013
26895,-73.97695044797301,40.764660431967,1,GRAND LARCENY,10/11/2013,10,2013
5493,-73.956701577394,40.637928771438,1,GRAND LARCENY,01/24/2013,1,2013
77496,-73.928745258656,40.654688227026,1,GRAND LARCENY OF MOTOR VEHICLE,06/23/2013,6,2013
28208,-73.86005429613,40.731344285015,1,GRAND LARCENY,12/12/2013,12,2013
4294,-73.85643056088,40.877573439066,1,ROBBERY,09/05/2013,9,2013
17099,-73.998487869284,40.745293057386,2,GRAND LARCENY,12/25/2013,12,2013
23621,-73.841391512844,40.838049213852,1,GRAND LARCENY,07/06/2013,7,2013
79419,-73.954873774959,40.767327278366,1,BURGLARY,07/20/2013,7,2013
27760,-74.12161553997599,40.57672674856,1,GRAND LARCENY,10/05/2013,10,2013
7809,-73.89505471643601,40.842749086259,1,FELONY ASSAULT,04/18/2013,4,2013
20167,-73.90879640187299,40.821277893427,1,FELONY ASSAULT,03/22/2013,3,2013
71862,-73.998950080406,40.728069738460995,1,GRAND LARCENY,07/14/2013,7,2013
5367,-73.88386330800999,40.883151327312,1,ROBBERY,01/25/2013,1,2013
75869,-73.955384854292,40.818148904588,1,GRAND LARCENY,04/02/2013,4,2013
2789,-73.908961449813,40.708556928556,1,GRAND LARCENY OF MOTOR VEHICLE,02/12/2013,2,2013
39226,-73.951020535311,40.778864586581996,1,BURGLARY,09/05/2013,9,2013
21534,-73.921681504068,40.63618927015,1,ROBBERY,01/06/2013,1,2013
37958,-73.828570561732,40.677652445928004,3,GRAND LARCENY,07/14/2013,7,2013
17588,-73.956555552014,40.65745236446,1,ROBBERY,08/22/2013,8,2013
23272,-73.851115105807,40.678855847246,1,BURGLARY,06/06/2013,6,2013
36278,-73.989912102586,40.75197059798,1,GRAND LARCENY,06/20/2013,6,2013
30063,-73.912329745961,40.654136163855,1,GRAND LARCENY,03/20/2013,3,2013
16249,-73.89632537160699,40.746336072749,1,GRAND LARCENY,02/24/2013,2,2013
77486,-74.00188800468099,40.637280903777,1,GRAND LARCENY,06/16/2013,6,2013
28249,-73.88872283495401,40.75837293704,1,FELONY ASSAULT,12/23/2013,12,2013
95686,-73.876955635654,40.738752468738,1,GRAND LARCENY,10/01/2013,10,2013
34745,-73.92502076939701,40.752270516854,1,GRAND LARCENY,03/03/2013,3,2013
28612,-73.964222339724,40.682923787332,1,FELONY ASSAULT,02/03/2013,2,2013
5113,-73.918090792337,40.705429264966995,1,ROBBERY,07/09/2013,7,2013
43906,-73.959197113521,40.646128358728,1,FELONY ASSAULT,04/23/2013,4,2013
96877,-73.944109511738,40.684340312875,1,BURGLARY,12/22/2013,12,2013
82577,-74.164082224147,40.58691756383,1,GRAND LARCENY,11/25/2013,11,2013
72257,-73.981761813013,40.701312367673005,1,ROBBERY,07/24/2013,7,2013
51679,-73.954782709103,40.779159811024,5,GRAND LARCENY,05/06/2013,5,2013
76318,-73.94197425601,40.718335932793,1,BURGLARY,04/01/2013,4,2013
23254,-73.717894208801,40.735277769566004,1,ROBBERY,06/10/2013,6,2013
8186,-73.733722309025,40.699625176984,1,ROBBERY,04/21/2013,4,2013
