Name,Status,Fall,Year,Place,Occurrence,,Type,Mass,MetBull
Yucca 039 **,Official,,2007,Arizona,1, USA,H3-6,108.6 g,105
Big Horn Mountains,Official,,2006,Arizona,1, USA,H4,91.9 g,97
Little Harquahala Mountains**,Official,,2006,Arizona,1, USA,H-melt rock,262 g,99
Red Dry Lake 063,Official,,2006,Arizona,1, USA,H4,6 g,93
Red Dry Lake 064,Official,,2006,Arizona,1, USA,H5,6 g,93
Red Dry Lake 065,Official,,2006,Arizona,1, USA,L6,3 g,93
Willcox Playa 008 **,Official,,2006,Arizona,1, USA,L6,28.7 g,103
Willcox Playa 010 **,Official,,2006,Arizona,1, USA,Lodranite,22.3 g,102
Yucca 036 **,Official,,2006,Arizona,1, USA,L6,17.1 g,105
Yucca 038 **,Official,,2006,Arizona,1, USA,H5,10.4 g,105
Buck Mountains 003,Official,,2005,Arizona,1, USA,L6,34.2 kg,91
Buck Mountains 004 **,Official,,2005,Arizona,1, USA,H3-6,145.8 g,100
North Trigo Peaks **,Official,,2005,Arizona,1, USA,L5,167 g,108†
Red Dry Lake 062,Official,,2005,Arizona,1, USA,H5,35.9 g,107
San Joaquin **,Official,,2005,Arizona,1, USA,L5/6,31.8 g,94
Trilby Wash,Official,,2005,Arizona,1, USA,L4,846 g,90
Yucca 035 **,Official,,2005,Arizona,1, USA,H3-6,43.3 g,105
Yucca 037 **,Official,,2005,Arizona,1, USA,H3-6,69.4 g,105
Yucca 040 **,Official,,2005,Arizona,1, USA,H6,247 g,104
Yucca 041 **,Official,,2005,Arizona,1, USA,H3-6,48.5 g,105
Apache Junction **,Official,,2004,Arizona,1, USA,"Iron, IIIAB",25 kg,100
Bouse,Official,,2004,Arizona,1, USA,L4-6,147.4 g,91
Buck Mountain Wash,Official,,2004,Arizona,1, USA,H3-5,798 g,89
Buck Mountains 001,Official,,2004,Arizona,1, USA,H6,50 g,90
Buck Mountains 002,Official,,2004,Arizona,1, USA,L6,18.4 g,90
Bumble Bee **,Official,,2004,Arizona,1, USA,H6,348 g,104
Diablo Pass,Official,,2004,Arizona,1, USA,L6,247 g,91
Naviska,Official,,2004,Arizona,1, USA,"Iron, IAB complex",147 g,95
Octave Mine,Official,,2004,Arizona,1, USA,H5,1304 g,91
Palo Verde Mine,Official,,2004,Arizona,1, USA,L6,9.16 kg,89
Red Dry Lake 028,Official,,2004,Arizona,1, USA,H4,11.3 g,89
Red Dry Lake 029,Official,,2004,Arizona,1, USA,H4,5.3 g,89
Sacramento Wash 002,Official,,2004,Arizona,1, USA,H4,893 g,90
Sacramento Wash 003,Official,,2004,Arizona,1, USA,H4,89.2 g,90
Sacramento Wash 004,Official,,2004,Arizona,1, USA,H5,28.6 g,90
Sacramento Wash 005 **,Official,,2004,Arizona,1, USA,H-metal,52.3 g,93
Willcox Playa 004,Official,,2004,Arizona,1, USA,L6,19.9 g,98
Willcox Playa 005,Official,,2004,Arizona,1, USA,H5,278 g,98
Willcox Playa 006,Official,,2004,Arizona,1, USA,H6,3.1 g,98
Willcox Playa 007,Official,,2004,Arizona,1, USA,L6,62.4 g,98
Yucca 032 **,Official,,2004,Arizona,1, USA,H3-5,99.8 g,105
Yucca 033 **,Official,,2004,Arizona,1, USA,H3-6,105.7 g,105
Yucca 034 **,Official,,2004,Arizona,1, USA,H6,89.3 g,104
Yucca 042 **,Official,,2004,Arizona,1, USA,H3-6,945 g,105
Yucca 043 **,Official,,2004,Arizona,1, USA,H3-6,535 g,105
Hualapai Wash 020,Official,,2003,Arizona,1, USA,H5,60.9 g,88
Meadview **,Official,,2003,Arizona,1, USA,H6,780 g,105
Red Dry Lake 024,Official,,2003,Arizona,1, USA,L5,17.9 g,89
Red Dry Lake 025,Official,,2003,Arizona,1, USA,L5/6,6.6 g,89
Sacramento Wash 001,Official,,2003,Arizona,1, USA,H4,98.9 g,90
Warm Springs Wilderness,Official,,2003,Arizona,1, USA,H4-6,156.9 g,90
Bluebird,Official,,2002,Arizona,1, USA,L6,3.65 kg,89
Dutch Flat **,Official,,2002,Arizona,1, USA,"Iron, IIAB",48.8 g,88
Fountain Hills **,Official,,2002,Arizona,1, USA,CBa,60 g,89
Franconia,Official,,2002,Arizona,1, USA,H5,100 kg,88
Quartzsite,Official,,2002,Arizona,1, USA,L4,69.7 g,91
Red Dry Lake 022,Official,,2002,Arizona,1, USA,H6,17 g,88
Red Dry Lake 023,Official,,2002,Arizona,1, USA,L5,5.9 g,88
Red Dry Lake 031,Official,,2002,Arizona,1, USA,H4,4.8 g,88
Little Ash Creek,Official,,2001,Arizona,1, USA,L5,21.4 g,85
Payson,Official,,2001,Arizona,1, USA,L6,1728 g,86
Red Dry Lake 002,Official,,2001,Arizona,1, USA,H6,21.5 g,86
Red Dry Lake 003,Official,,2001,Arizona,1, USA,H6,94 g,86
Red Dry Lake 004,Official,,2001,Arizona,1, USA,H6,13.5 g,86
Red Dry Lake 005,Official,,2001,Arizona,1, USA,H6,12 g,86
Red Dry Lake 006,Official,,2001,Arizona,1, USA,H4,40 g,86
Red Dry Lake 009,Official,,2001,Arizona,1, USA,H3.6,13 g,86
Willcox Playa 002,Official,,2001,Arizona,1, USA,L6,12 g,85
Gila Bend,Official,,2000,Arizona,1, USA,L5,3.7 kg,89
Golden Mile,Official,,2000,Arizona,1, USA,H4,379 g,86
Hualapai Wash,Official,,2000,Arizona,1, USA,L6,240 g,85
Mohawk **,Official,,2000,Arizona,1, USA,"Iron, IAB complex",586 g,90
Red Hill **,Official,,2000,Arizona,1, USA,H4,12.7 kg,104
Arivaca **,Official,,1999,Arizona,1, USA,Eucrite-mmict,30.1 g,94
Golden Rule **,Official,,1999,Arizona,1, USA,L5,798 g,84
White Hills **,Official,,1999,Arizona,1, USA,Mesosiderite,11.7 g,85
Cordes,Official,,1998,Arizona,1, USA,H4,54.5 g,91
Coyote Mountains **,Official,,1998,Arizona,1, USA,H5,23 g,84
Dos Cabezas **,Official,,1998,Arizona,1, USA,L5,755 g,84
Indian Butte **,Official,Y,1998,Arizona,1, USA,H5,1721 g,102
Temple Bar **,Official,,1998,Arizona,1, USA,CR,106 g,85
Wildcat Peak **,Official,,1998,Arizona,1, USA,H5,202 g,84
Hualapai Wash 021,Official,,1997,Arizona,1, USA,H4,20.5 g,88
King Tut **,Official,,1997,Arizona,1, USA,L5,19.5 g,84
Ragged Top **,Official,,1997,Arizona,1, USA,H4,122.7 g,84
White Elephant,Official,,1997,Arizona,1, USA,L4,10.4 g,85
Gold Basin **,Official,,1995,Arizona,1, USA,L4,61 kg,82
Greaterville **,Official,,1995,Arizona,1, USA,L4,48 g,81
Snyder Hill **,Official,,1994,Arizona,1, USA,L5,1160 g,82
Cave Creek **,Official,,1992,Arizona,1, USA,H4,1492 g,78
Fish Canyon **,Official,,1992,Arizona,1, USA,"Iron, IAB complex",27.3 g,84
Udall Park **,Official,,1985,Arizona,1, USA,H4,150 g,78
Ryan Field **,Official,,1982,Arizona,1, USA,H5,8.9 g,81
Cat Mountain **,Official,,1981,Arizona,1, USA,L5,2.7 kg,75
Maricopa **,Official,,1980,Arizona,1, USA,H,50 g,59
Willcox Playa **,Official,,1979,Arizona,1, USA,H4,61.5 g,81
Hickiwan **,Official,,1974,Arizona,1, USA,H5,1928 g,55
El Mirage **,Official,,1972,Arizona,1, USA,"Iron, IIAB",598 g,53
Wikieup,Official,,1965,Arizona,1, USA,H5,372 g,
Hassayampa **,Official,,1963,Arizona,1, USA,H4,16 kg,30
Bagdad **,Official,,1959,Arizona,1, USA,"Iron, IIIAB",2.2 kg,25
Cottonwood **,Official,,1955,Arizona,1, USA,H5,800 g,30
Clover Springs **,Official,,1954,Arizona,1, USA,Mesosiderite-A2,7.7 kg,5
Seligman,Official,,1949,Arizona,1, USA,"Iron, IAB-MG",2.2 kg,
Pima County,Official,,1947,Arizona,1, USA,"Iron, IIAB",210 g,
Southern Arizona,Official,,1947,Arizona,1, USA,"Iron, IAB-sLL",266 g,
Wickenburg (stone),Official,,1940,Arizona,1, USA,L6,9.2 kg,
Silver Bell,Official,,1939,Arizona,1, USA,"Iron, IIAB",5.1 kg,
Winona,Official,,1928,Arizona,1, USA,Winonaite,24 kg,
Wallapai,Official,,1927,Arizona,1, USA,"Iron, IID",430 kg,
Navajo,Official,,1921,Arizona,1, USA,"Iron, IIAB",2.18 t,
San Francisco Mountains,Official,,1920,Arizona,1, USA,"Iron, IVA",1700 g,
Holbrook,Official,Y,1912,Arizona,1, USA,L/LL6,220 kg,
Gun Creek,Official,,1909,Arizona,1, USA,"Iron, ungrouped",22.7 kg,
Coon Butte,Official,,1905,Arizona,1, USA,L6,2.75 kg,
Ashfork,Official,,1901,Arizona,1, USA,"Iron, IAB-MG",27 kg,
Weaver Mountains,Official,,1898,Arizona,1, USA,"Iron, IVB",38.8 kg,
Kofa,Official,,1893,Arizona,1, USA,"Iron, IAB-sHH",490 g,
Canyon Diablo **,Official,,1891,Arizona,1, USA,"Iron, IAB-MG",30 t,33
Tucson,Official,,1850,Arizona,1, USA,"Iron, ungrouped",975 kg,
Delaware **,Official,,1972,Arkansas,1, USA,L4,8.35 kg,86
Slovak **,Official,,1962,Arkansas,1, USA,H5,8.22 kg,63
Hope **,Official,,1955,Arkansas,1, USA,"Iron, IAB-MG",6.8 kg,8
Hatfield,Official,,1941,Arkansas,1, USA,"Iron, IAB complex",21 g,
Calico Rock **,Official,,1938,Arkansas,1, USA,"Iron, IIAB",7.28 kg,33
Sandtown,Official,,1938,Arkansas,1, USA,"Iron, IIIAB",9.35 kg,
Fayetteville,Official,Y,1934,Arkansas,1, USA,H4,2.36 kg,
Miller (Arkansas),Official,Y,1930,Arkansas,1, USA,H5,16.7 kg,
Paragould,Official,Y,1930,Arkansas,1, USA,LL5,408 kg,
Success **,Official,Y,1924,Arkansas,1, USA,L6,3.5 kg,5
Newport,Official,,1923,Arkansas,1, USA,"Pallasite, PMG",5.6 kg,
Norfork,Official,Y,1918,Arkansas,1, USA,"Iron, IIIAB",1050 g,
Western Arkansas,Official,,1890,Arkansas,1, USA,"Iron, IVA",1750 g,
Cabin Creek,Official,Y,1886,Arkansas,1, USA,"Iron, IIIAB",48.5 kg,
Joe Wright Mountain,Official,,1884,Arkansas,1, USA,"Iron, IIIAB",42.6 kg,
Winterhaven,Official,,2002,California,1, USA,Howardite,2.1 kg,95
Halloran Spring **,Official,,2019,California,1, USA,"Iron, IIIAB",18.15 kg,109†
Cleghorn Lakes **,Official,,2018,California,1, USA,LL3,1100 g,109†
Troy Dry Lake **,Official,,2017,California,1, USA,L6,16.3 g,107
Blackhawk Mountain (b) **,Official,,2016,California,1, USA,L6,52.4 g,108†
Nova 062 **,Official,,2016,California,1, USA,L5,1500 g,109†
Nova 063 **,Official,,2016,California,1, USA,H5,18.3 g,109†
Nova 064 **,Official,,2016,California,1, USA,H5,70.9 g,109†
Coyote Dry Lake 349 **,Official,,2015,California,1, USA,H6,4 kg,107
Creston **,Official,Yc,2015,California,1, USA,L6,688 g,104
Harper Dry Lake 037,Official,,2014,California,1, USA,L6,4.4 g,104
Ivanpah Dry Lake **,Official,,2014,California,1, USA,H4,1128 g,104
Lake Los Angeles (b) **,Official,,2014,California,1, USA,L6,177.3 g,103
Lucerne Valley 123,Official,,2014,California,1, USA,H4,6.3 g,104
Lucerne Valley 124,Official,,2014,California,1, USA,H5,6.4 g,104
Superior Valley 032 **,Official,,2014,California,1, USA,H5,9.1 g,104
Coyote Dry Lake 334 **,Official,,2013,California,1, USA,LL3,13.6 g,104
Coyote Dry Lake 338,Official,,2013,California,1, USA,H6,282 g,103
Coyote Dry Lake 339,Official,,2013,California,1, USA,H4,11.4 g,104
Coyote Dry Lake 341,Official,,2013,California,1, USA,H4,9.7 g,104
Indio **,Official,,2013,California,1, USA,H5,566 g,105
Lake Los Angeles **,Official,,2013,California,1, USA,H6,445 g,103
Stewart Valley 021,Official,,2013,California,1, USA,H5,5.6 g,102
Stewart Valley 022,Official,,2013,California,1, USA,LL6,2.84 g,102
Sunfair 002 **,Official,,2013,California,1, USA,H5,14.6 g,108†
Blackhawk Mountain **,Official,,2012,California,1, USA,H4,20.2 g,103
Johannesburg,Official,,2012,California,1, USA,H4,63 g,101
Lucerne Valley 122,Official,,2012,California,1, USA,H5,2.3 g,102
Novato **,Official,Y,2012,California,1, USA,L6,314 g,103
Rosamond **,Official,,2012,California,1, USA,LL3,11.1 g,102
Sutter's Mill **,Official,Y,2012,California,1, USA,C,993 g,100
El Mirage Dry Lake 004,Official,,2011,California,1, USA,LL6,271 g,100
Cuddeback Dry Lake 022,Provisional,,2010,California,1, USA,Unknown,4.17 g,
El Mirage Dry Lake 003,Official,,2010,California,1, USA,H6,6.9 g,100
Harper Dry Lake 036,Official,,2010,California,1, USA,L6,85.5 g,101
Lucerne Valley 120,Official,,2010,California,1, USA,L6,43.1 g,99
San Bernardino Wash **,Official,,2010,California,1, USA,L5,258 g,100
Coyote Dry Lake 318,Official,,2009,California,1, USA,H5,7.2 g,99
Harper Dry Lake 030,Provisional,,2009,California,1, USA,Unknown,30 g,
Harper Dry Lake 031,Provisional,,2009,California,1, USA,Unknown,15.2 g,
Harper Dry Lake 032,Provisional,,2009,California,1, USA,Unknown,3.6 g,
Harper Dry Lake 033,Provisional,,2009,California,1, USA,Unknown,15.1 g,
Harper Dry Lake 034,Provisional,,2009,California,1, USA,Unknown,2.5 g,
Harper Dry Lake 035,Provisional,,2009,California,1, USA,Unknown,1.9 g,
Buckhorn Lake,Official,,2008,California,1, USA,H4,14.1 g,103
Cuddeback Dry Lake 013,Official,,2008,California,1, USA,H4,1.6 g,99
Cuddeback Dry Lake 017,Official,,2008,California,1, USA,H6,23.1 g,99
Cuddeback Dry Lake 018,Official,,2008,California,1, USA,H4,8.5 g,99
Cuddeback Dry Lake 019,Official,,2008,California,1, USA,L6,10.1 g,99
Cuddeback Dry Lake 020,Provisional,,2008,California,1, USA,Unknown,3.1 g,
Cuddeback Dry Lake 024,Provisional,,2008,California,1, USA,Unknown,27.7 g,
Cuddeback Dry Lake 025,Provisional,,2008,California,1, USA,Unknown,4.1 g,
Cuddeback Dry Lake 026,Provisional,,2008,California,1, USA,Unknown,2.7 g,
Cuddeback Dry Lake 027,Provisional,,2008,California,1, USA,Unknown,1.2 g,
Cuddeback Dry Lake 028,Official,,2008,California,1, USA,L5,19.5 g,99
Cuddeback Dry Lake 029,Official,,2008,California,1, USA,H4,22.2 g,99
Harper Dry Lake 027,Provisional,,2008,California,1, USA,Unknown,0.9 g,
Harper Dry Lake 028,Provisional,,2008,California,1, USA,Unknown,22.1 g,
Harper Dry Lake 029,Official,,2008,California,1, USA,H6,11.6 g,99
Lucerne Valley 094,Official,,2008,California,1, USA,CK5,3.5 g,100
Lucerne Valley 095,Official,,2008,California,1, USA,CK5,1.1 g,100
Lucerne Valley 096,Official,,2008,California,1, USA,L5,7.3 g,99
Lucerne Valley 097,Official,,2008,California,1, USA,CK4,6.5 g,99
Lucerne Valley 098,Official,,2008,California,1, USA,CK4,1.5 g,100
Lucerne Valley 099,Official,,2008,California,1, USA,CK5,3.2 g,100
Lucerne Valley 100 **,Official,,2008,California,1, USA,CK5,0.8 g,100
Lucerne Valley 101,Official,,2008,California,1, USA,CK4,4 g,99
Cuddeback Dry Lake 015,Provisional,,2007,California,1, USA,Unknown,8 g,
Cuddeback Dry Lake 016,Provisional,,2007,California,1, USA,Unknown,16.8 g,
Harper Dry Lake 017,Official,,2007,California,1, USA,H6,16.4 g,93
Harper Dry Lake 018,Official,,2007,California,1, USA,H6,39.7 g,99
Harper Dry Lake 019,Official,,2007,California,1, USA,L6,118.7 g,93
Harper Dry Lake 020,Provisional,,2007,California,1, USA,Unknown,4.3 g,
Harper Dry Lake 021,Provisional,,2007,California,1, USA,Unknown,1.2 g,
Harper Dry Lake 022,Provisional,,2007,California,1, USA,Unknown,16.5 g,
Harper Dry Lake 023,Provisional,,2007,California,1, USA,Unknown,69 g,
Harper Dry Lake 024,Provisional,,2007,California,1, USA,Unknown,15.3 g,
Harper Dry Lake 025,Provisional,,2007,California,1, USA,Unknown,20.2 g,
Harper Dry Lake 026,Provisional,,2007,California,1, USA,Unknown,4.2 g,
Lucerne Valley 089,Official,,2007,California,1, USA,L5,2.6 g,99
Lucerne Valley 090,Official,,2007,California,1, USA,L5,30.7 g,99
Lucerne Valley 091,Official,,2007,California,1, USA,H4,12.7 g,99
Lucerne Valley 092,Official,,2007,California,1, USA,H5,0.6 g,99
Lucerne Valley 093,Official,,2007,California,1, USA,L6,3.93 g,99
Red Canyon Lake **,Official,Y,2007,California,1, USA,H5,18.4 g,99
Stewart Valley 018,Official,,2007,California,1, USA,H6,9.9 g,102
Coyote Dry Lake 274,Official,,2006,California,1, USA,H4,7.5 g,93
Coyote Dry Lake 275,Official,,2006,California,1, USA,H4,16.2 g,93
Coyote Dry Lake 276,Official,,2006,California,1, USA,H6,47.2 g,93
Coyote Dry Lake 277,Official,,2006,California,1, USA,H5,21.3 g,93
Coyote Dry Lake 319 **,Official,,2006,California,1, USA,H5,3.4 g,103
Emerson Dry Lake,Official,,2006,California,1, USA,L6,32 g,102
Lucerne Valley 058,Official,,2006,California,1, USA,L6,0.85 g,93
Stewart Valley 016,Official,,2006,California,1, USA,H6,39.1 g,102
Sunfair,Official,,2006,California,1, USA,L6,49.8 g,102
Superior Valley 026,Official,,2006,California,1, USA,L4,15.8 g,91
Willow Wash **,Official,,2006,California,1, USA,H3.5,552 g,94
Cuddeback Dry Lake 014,Provisional,,2005,California,1, USA,Unknown,19.9 g,
Lucerne Valley 050,Official,,2005,California,1, USA,H4,6.9 g,90
Lucerne Valley 057,Official,,2005,California,1, USA,L6,13.2 g,93
Randsburg,Official,,2005,California,1, USA,L5,112.9 g,91
Chicago Valley,Official,,2004,California,1, USA,L5,26 g,91
Chocolate Mountains,Official,,2004,California,1, USA,Ureilite,699 g,98
Coyote Dry Lake 194,Official,,2004,California,1, USA,L6,1.47 g,89
Coyote Dry Lake 222,Official,,2004,California,1, USA,L5,22.5 g,89
Coyote Dry Lake 223,Official,,2004,California,1, USA,L6,512 g,89
Coyote Dry Lake 230,Official,,2004,California,1, USA,H6,16.4 g,89
Coyote Dry Lake 235,Official,,2004,California,1, USA,LL6,81.4 g,89
Coyote Dry Lake 249,Official,,2004,California,1, USA,H4,71.8 g,89
Cuddeback Dry Lake 021,Official,,2004,California,1, USA,L6,31.7 g,98
Lucerne Valley 030,Official,,2004,California,1, USA,CK4,4.12 g,90
Lucerne Valley 031,Official,,2004,California,1, USA,CK4,3.22 g,90
Lucerne Valley 032,Official,,2004,California,1, USA,CK4,11.9 g,90
Lucerne Valley 035,Official,,2004,California,1, USA,CK4,0.92 g,90
Lucerne Valley 036,Official,,2004,California,1, USA,CK4,2.48 g,90
Lucerne Valley 037,Official,,2004,California,1, USA,CK4,0.9 g,90
Lucerne Valley 040,Official,,2004,California,1, USA,L6,5.2 g,89
Lucerne Valley 041,Official,,2004,California,1, USA,L6,0.84 g,89
Lucerne Valley 042,Official,,2004,California,1, USA,L6,2.17 g,89
Lucerne Valley 043,Official,,2004,California,1, USA,L4,1.75 g,89
Lucerne Valley 044,Official,,2004,California,1, USA,L6,106.2 g,89
Lucerne Valley 045,Official,,2004,California,1, USA,L6,38.6 g,89
Lucerne Valley 046,Official,,2004,California,1, USA,L6,10.3 g,89
Lucerne Valley 047,Official,,2004,California,1, USA,L6,30.4 g,89
Lucerne Valley 048,Official,,2004,California,1, USA,H4,2.29 g,89
Lucerne Valley 049,Official,,2004,California,1, USA,L6,9.2 g,89
Paymaster Mine,Official,,2004,California,1, USA,L5,159 g,91
Superior Valley 022,Official,,2004,California,1, USA,H5,38.9 g,89
Coyote Dry Lake 176,Official,,2003,California,1, USA,H6,187.6 g,89
Coyote Dry Lake 221,Official,,2003,California,1, USA,H4,54.3 g,89
Lucerne Valley 024,Official,,2003,California,1, USA,L6,2.71 g,88
Lucerne Valley 025,Official,,2003,California,1, USA,H4,21 g,89
Lucerne Valley 026,Official,,2003,California,1, USA,L5,5.6 g,89
Lucerne Valley 027,Official,,2003,California,1, USA,L6,3.1 g,89
Lucerne Valley 028 **,Official,,2003,California,1, USA,CK4,3 g,90
Lucerne Valley 029,Official,,2003,California,1, USA,CK4,10.1 g,90
Lucerne Valley 051,Official,,2003,California,1, USA,L5,6 g,91
Stewart Valley 009 **,Official,,2003,California,1, USA,LL5,375 g,100
Stewart Valley 010 **,Official,,2003,California,1, USA,H5,41.7 g,100
Stewart Valley 011 **,Official,,2003,California,1, USA,H6,49.6 g,100
Stewart Valley 014,Official,,2003,California,1, USA,LL4,54.3 g,102
Superior Valley 020,Official,,2003,California,1, USA,L6,308 g,89
Coyote Dry Lake 160,Official,,2002,California,1, USA,H5,76.9 g,89
Coyote Dry Lake 162,Official,,2002,California,1, USA,H5,9.9 g,89
Coyote Dry Lake 163,Official,,2002,California,1, USA,H5,16.7 g,89
Coyote Dry Lake 164,Official,,2002,California,1, USA,H5,43 g,89
Coyote Dry Lake 165,Official,,2002,California,1, USA,L6,42.6 g,89
Coyote Dry Lake 175,Official,,2002,California,1, USA,H6,36.4 g,89
Cuddeback Dry Lake 012,Official,,2002,California,1, USA,H5,0.72 g,88
Essex,Official,,2002,California,1, USA,H5,5 kg,88
Lucerne Valley 018,Official,,2002,California,1, USA,H6,0.97 g,88
Lucerne Valley 019,Official,,2002,California,1, USA,L6,3.91 g,88
Lucerne Valley 020,Official,,2002,California,1, USA,H6,18.4 g,88
Lucerne Valley 021,Official,,2002,California,1, USA,H6,3.92 g,88
Lucerne Valley 022,Official,,2002,California,1, USA,LL4,16.5 g,88
Lucerne Valley 023,Official,,2002,California,1, USA,L6,7.6 g,88
Superior Valley 013,Official,,2002,California,1, USA,L5,2.74 g,90
Superior Valley 014 **,Official,,2002,California,1, USA,Acapulcoite,1.77 g,90
Superior Valley 018,Official,,2002,California,1, USA,H5,2.74 g,90
Coyote Dry Lake 151,Official,,2001,California,1, USA,H6,90 g,89
Coyote Dry Lake 152,Official,,2001,California,1, USA,H5,10.8 g,89
Coyote Dry Lake 153,Official,,2001,California,1, USA,H5,13.9 g,89
Coyote Dry Lake 155,Official,,2001,California,1, USA,H4,17 g,89
Coyote Dry Lake 159,Official,,2001,California,1, USA,H5,17.7 g,89
El Mirage Dry Lake 002,Official,,2001,California,1, USA,H4,13 g,86
Stewart Valley 001 **,Official,,2001,California,1, USA,H6,75.6 g,100
Stewart Valley 002 **,Official,,2001,California,1, USA,L6,28.9 g,100
Stewart Valley 003 **,Official,,2001,California,1, USA,H4,6.8 g,100
Superior Valley 003,Official,,2001,California,1, USA,H6,65.6 g,86
Superior Valley 004,Official,,2001,California,1, USA,L6,15.3 g,86
Superior Valley 005,Official,,2001,California,1, USA,H6,32.9 g,86
Superior Valley 006,Official,,2001,California,1, USA,H6,78.5 g,86
Superior Valley 007,Official,,2001,California,1, USA,L6,67.2 g,86
Superior Valley 008,Official,,2001,California,1, USA,L6,77.4 g,86
Superior Valley 009,Official,,2001,California,1, USA,L6,116.4 g,86
Superior Valley 010,Official,,2001,California,1, USA,L4,26.3 g,86
Superior Valley 011,Official,,2001,California,1, USA,H6,2.52 g,86
Cargo Muchacho Mountains,Official,,2000,California,1, USA,CO3,2.86 kg,97
Coyote Dry Lake 129,Official,,2000,California,1, USA,H5,140 g,89
Coyote Dry Lake 130,Official,,2000,California,1, USA,H4,6.1 g,89
Coyote Dry Lake 132,Official,,2000,California,1, USA,H4,17.4 g,89
Coyote Dry Lake 134,Official,,2000,California,1, USA,H5,117.5 g,89
Coyote Dry Lake 138,Official,,2000,California,1, USA,H5,18.3 g,89
Coyote Dry Lake 139,Official,,2000,California,1, USA,H4,10.4 g,89
Coyote Dry Lake 142,Official,,2000,California,1, USA,H4,32.2 g,89
Cuddeback Dry Lake 002,Official,,2000,California,1, USA,L6,95 g,86
Cuddeback Dry Lake 003,Official,,2000,California,1, USA,L6,7.5 g,86
Cuddeback Dry Lake 004,Official,,2000,California,1, USA,H6,40 g,86
Cuddeback Dry Lake 005,Official,,2000,California,1, USA,H5,35 g,86
Cuddeback Dry Lake 006,Official,,2000,California,1, USA,H6,0.5 g,86
Cuddeback Dry Lake 007,Official,,2000,California,1, USA,L4,96.7 g,86
Cuddeback Dry Lake 008,Official,,2000,California,1, USA,L6,18 g,86
Cuddeback Dry Lake 009,Official,,2000,California,1, USA,H5,19 g,86
Cuddeback Dry Lake 010,Official,,2000,California,1, USA,L5,10.5 g,86
Cuddeback Dry Lake 011,Official,,2000,California,1, USA,L6,10.7 g,86
Danby Dry Lake **,Official,,2000,California,1, USA,H6,8.99 kg,86
El Mirage Dry Lake 001,Official,,2000,California,1, USA,H5,1.5 g,86
Harper Dry Lake 007,Official,,2000,California,1, USA,H5,166.7 g,87
Harper Dry Lake 008,Official,,2000,California,1, USA,H6,12.5 g,87
Old Dominion Mine,Official,,2000,California,1, USA,H4,42 g,86
Rabbit Dry Lake,Official,,2000,California,1, USA,L6,20 g,85
Silurian Dry Lake,Official,,2000,California,1, USA,LL6,43.8 g,86
Silver Dry Lake 001,Official,,2000,California,1, USA,L4,219 g,85
Silver Dry Lake 002,Official,,2000,California,1, USA,H6,16.5 g,86
Superior Valley 001,Official,,2000,California,1, USA,H5,3.4 g,86
Superior Valley 002,Official,,2000,California,1, USA,L6,145 g,86
Superstition Mountain,Official,,2000,California,1, USA,H5,333 g,86
Coyote Dry Lake 024,Official,,1999,California,1, USA,H5,2.43 kg,89
Coyote Dry Lake 033,Official,,1999,California,1, USA,H5,5.22 kg,89
Coyote Dry Lake 040,Official,,1999,California,1, USA,H4,344 g,89
Coyote Dry Lake 054,Official,,1999,California,1, USA,H5,393 g,89
Coyote Dry Lake 061,Official,,1999,California,1, USA,H5,2.13 kg,89
Coyote Dry Lake 063,Official,,1999,California,1, USA,H4,67.6 g,89
Coyote Dry Lake 064,Official,,1999,California,1, USA,H5,1364 g,89
Coyote Dry Lake 067,Official,,1999,California,1, USA,L6,412 g,89
Coyote Dry Lake 080,Official,,1999,California,1, USA,H5,278 g,89
Coyote Dry Lake 105,Official,,1999,California,1, USA,H5,61.5 g,89
Coyote Dry Lake 110,Official,,1999,California,1, USA,H4,68 g,89
Coyote Dry Lake 115,Official,,1999,California,1, USA,H5-6,1369 g,89
Coyote Dry Lake 116,Official,,1999,California,1, USA,H6,4.4 g,89
Coyote Dry Lake 117,Official,,1999,California,1, USA,H3,162 g,89
Coyote Dry Lake 119,Official,,1999,California,1, USA,H5,3.2 g,89
Coyote Dry Lake 120,Official,,1999,California,1, USA,H5,18.5 g,89
Coyote Dry Lake 121,Official,,1999,California,1, USA,H4,14.2 g,89
Cuddeback Dry Lake 001,Official,,1999,California,1, USA,L6,32.5 g,86
Goldstone Dry Lake,Official,,1999,California,1, USA,H6,1.1 g,86
Harper Dry Lake 001,Official,,1999,California,1, USA,LL3,13 g,87
Harper Dry Lake 002,Official,,1999,California,1, USA,H6,12 g,87
Harper Dry Lake 003,Official,,1999,California,1, USA,L6,95 g,87
Harper Dry Lake 004,Official,,1999,California,1, USA,LL3,37 g,87
Harper Dry Lake 005,Official,,1999,California,1, USA,H6,24 g,87
Harper Dry Lake 006,Official,,1999,California,1, USA,H6,26 g,87
Los Angeles **,Official,,1999,California,1, USA,Martian (shergottite),698 g,84
Lucerne Valley 017 **,Official,,1999,California,1, USA,L6,12.8 g,84
Sheephole Valley **,Official,,1999,California,1, USA,H4,62.1 g,84
Sheephole Valley 002,Official,,1999,California,1, USA,L4,4.4 g,86
Bruceville,Official,,1998,California,1, USA,L6,83 kg,85
Coyote Dry Lake 002,Official,,1998,California,1, USA,H5-6,106.7 g,89
