country,code,year,population,continent,gdp-per-capita,departures,happiness-score
Venezuela,VEN,2015,30082000,South America,,1539000,6.81
Malaysia,MYS,2015,30271000,Asia,25001.61267,,5.77
Peru,PER,2015,30471000,South America,11770.03445,2595000,5.824
Uzbekistan,UZB,2015,30930000,Asia,5700.236028,,6.003
Saudi Arabia,SAU,2015,31718000,Asia,50723.71265,20819000,6.411
Afghanistan,AFG,2015,34414000,Asia,1809.016488,,3.575
Morocco,MAR,2015,34664000,Africa,7296.934401,1910000,5.013
Iraq,IRQ,2015,35572000,Asia,15072.86867,,4.677
Canada,CAN,2015,36027000,North America,43149.47584,32267000,7.427
Poland,POL,2015,38034000,Europe,25299.97435,44300000,5.791
Uganda,UGA,2015,38225000,Africa,1665.949905,523000,3.931
Sudan,SDN,2015,38903000,Africa,4290.372249,,4.55
Algeria,DZA,2015,39728000,Africa,13724.72385,3638000,5.605
Argentina,ARG,2015,43075000,South America,19116.90791,7807000,6.574
Ukraine,UKR,2015,44922000,Europe,7464.939834,23142000,4.681
Spain,ESP,2015,46672000,Europe,32291.1552,14407000,6.329
Colombia,COL,2015,47521000,South America,12985.38313,3862000,6.477
Kenya,KEN,2015,47878000,Africa,2835.99661,,4.419
South Korea,KOR,2015,50823000,Asia,34177.65447,19310000,5.984
Tanzania,TZA,2015,51483000,Africa,2490.957101,,3.781
Myanmar,MMR,2015,52681000,Asia,5056.859041,,4.307
South Africa,ZAF,2015,55386000,Africa,12377.65926,,4.642
Italy,ITA,2015,60578000,Europe,34302.0374,29040000,5.948
France,FRA,2015,64453000,Europe,37766.37411,26648000,6.575
United Kingdom,GBR,2015,65860000,Europe,38839.16696,65720000,6.867
Thailand,THA,2015,68715000,Asia,15252.22825,6794000,6.455
Iran,IRN,2015,78492000,Asia,16500.90051,6620000,4.686
Turkey,TUR,2015,78529000,Asia,23388.4813,8751000,5.332
Germany,DEU,2015,81787000,Europe,43937.94713,83737000,6.75
Egypt,EGY,2015,92443000,Africa,10095.61017,,4.194
Vietnam,VNM,2015,92677000,Asia,5554.858056,,5.36
Ethiopia,ETH,2015,100835000,Africa,1533.107632,,4.512
Philippines,PHL,2015,102113000,Asia,6874.582566,,5.073
Mexico,MEX,2015,121858000,North America,16938.60541,19603000,7.187
