symbol,date,price
S&P 500,Apr-08,1385.59
S&P 500,May-08,1400.38
S&P 500,Jun-08,1280
S&P 500,Jul-08,1267.38
S&P 500,Aug-08,1282.83
S&P 500,Sep-08,1166.36
S&P 500,Oct-08,968.75
S&P 500,Nov-08,896.24
S&P 500,Dec-08,903.25
S&P 500,Jan-09,825.88
S&P 500,Feb-09,735.09
S&P 500,Mar-09,797.87
S&P 500,Apr-09,872.81
S&P 500,May-09,919.14
S&P 500,Jun-09,919.32
S&P 500,Jul-09,987.48
S&P 500,Aug-09,1020.62
S&P 500,Sep-09,1057.08
S&P 500,Oct-09,1036.19
S&P 500,Nov-09,1095.63
S&P 500,Dec-09,1115.1
S&P 500,Jan-10,1073.87
S&P 500,Feb-10,1104.49
S&P 500,Mar-10,1140.45
MSFT,Jan-00,39.81
MSFT,Feb-00,36.35
MSFT,Mar-00,43.22
MSFT,Apr-00,28.37
MSFT,May-00,25.45
MSFT,Jun-00,32.54
MSFT,Jul-00,28.4
MSFT,Aug-00,28.4
MSFT,Sep-00,24.53
MSFT,Oct-00,28.02
MSFT,Nov-00,23.34
MSFT,Dec-00,17.65
MSFT,Jan-01,24.84
MSFT,Feb-01,24
MSFT,Mar-01,22.25
MSFT,Apr-01,27.56
MSFT,May-01,28.14
MSFT,Jun-01,29.7
MSFT,Jul-01,26.93
MSFT,Aug-01,23.21
MSFT,Sep-01,20.82
MSFT,Oct-01,23.65
MSFT,Nov-01,26.12
MSFT,Dec-01,26.95
MSFT,Jan-02,25.92
MSFT,Feb-02,23.73
MSFT,Mar-02,24.53
MSFT,Apr-02,21.26
MSFT,May-02,20.71
MSFT,Jun-02,22.25
MSFT,Jul-02,19.52
MSFT,Aug-02,19.97
MSFT,Sep-02,17.79
MSFT,Oct-02,21.75
MSFT,Nov-02,23.46
MSFT,Dec-02,21.03
MSFT,Jan-03,19.31
MSFT,Feb-03,19.34
MSFT,Mar-03,19.76
MSFT,Apr-03,20.87
MSFT,May-03,20.09
MSFT,Jun-03,20.93
MSFT,Jul-03,21.56
MSFT,Aug-03,21.65
MSFT,Sep-03,22.69
MSFT,Oct-03,21.45
MSFT,Nov-03,21.1
MSFT,Dec-03,22.46
MSFT,Jan-04,22.69
MSFT,Feb-04,21.77
MSFT,Mar-04,20.46
MSFT,Apr-04,21.45
MSFT,May-04,21.53
MSFT,Jun-04,23.44
MSFT,Jul-04,23.38
MSFT,Aug-04,22.47
MSFT,Sep-04,22.76
MSFT,Oct-04,23.02
MSFT,Nov-04,24.6
MSFT,Dec-04,24.52
MSFT,Jan-05,24.11
MSFT,Feb-05,23.15
MSFT,Mar-05,22.24
MSFT,Apr-05,23.28
MSFT,May-05,23.82
MSFT,Jun-05,22.93
MSFT,Jul-05,23.64
MSFT,Aug-05,25.35
MSFT,Sep-05,23.83
MSFT,Oct-05,23.8
MSFT,Nov-05,25.71
MSFT,Dec-05,24.29
MSFT,Jan-06,26.14
MSFT,Feb-06,25.04
MSFT,Mar-06,25.36
MSFT,Apr-06,22.5
MSFT,May-06,21.19
MSFT,Jun-06,21.8
MSFT,Jul-06,22.51
MSFT,Aug-06,24.13
